name,osm_id,lon,lat
Eaton Road,275299908,-2.3600202903966987,53.37195383282586
Quarry Bank,142274006,-2.324153165261542,53.39890231153362
Moss Lane/Golf Road,275300078,-2.333713668332913,53.38416306025471
Pickering Lodge,669147080,-2.331890136480444,53.39857186962489
Riddings,275317514,-2.333819226254346,53.40804953178258
Trafford Drive/Beech Avenue,275316861,-2.3198123340662375,53.405749041305114
Vicarage Lane,275299907,-2.3630588721304124,53.37243295187198
Wellfield Lane,275602899,-2.3083572111718014,53.38225715650373
Woodstock Road,275299676,-2.3629935890242537,53.40276122838807
Woodcote Road,275299675,-2.353225274519845,53.407547869474705
Grosvenor Road,60731316,-2.3330880798115783,53.430194511083855
Moor Nook,95386091,-2.306307507200227,53.416958046061836
Moor Nook,111019533,-2.3041647502171747,53.417058901016176
Tavistock Road,275298477,-2.352670853409267,53.4258973445643
Totnes Road,81994586,-2.3462748824446638,53.42808333016241
Walton Road,84237436,-2.3299286876457885,53.416714970261175
Warslow Drive,95386089,-2.2982486823858608,53.409406526787045
Winstanley Road,110893147,-2.3126091373760262,53.42800675999867
Chadwick Park,75609150,-2.3339293635194513,53.44854573868511
Church Street,113082717,-2.3123956333333333,53.44411543333333
Gorse Hill,111549438,-2.2970903729107235,53.458306685239066
Humphrey Park,75609149,-2.3300772252947053,53.44836413592551
Lesley Road/Moss Park,59656795,-2.3270910246401755,53.444226271240325
Old Trafford,116537703,-2.282072752466731,53.45540769724433
Balmoral Road,275297220,-2.371994010066182,53.44475539030881
Brookfield,669144029,-2.375721549788283,53.449845789612645
Granville Park,60812002,-2.3478835903669317,53.45144136928213
Laneheads,669144030,-2.3769344269941715,53.45113120479428
Marlborough Road,59748491,-2.380915363932272,53.449707855539266
Mansfield,275297169,-2.3707050696690195,53.44524234149894
Mossfield,57740894,-2.3669481026129104,53.45028185780697
Moss View Road,77254628,-2.4180527960454503,53.416812701139875
St Mary's,81218975,-2.425755611422544,53.421129839126564
The Grove,524081355,-2.357673711425604,53.45157170063433
Wyndcliffe Drive,59748497,-2.387478317791116,53.44570222769032
