name,address,postcode,area_name,area_code,lat,long
Done Brothers (Cash Betting) Limited,"Betfred, 100 George Street, Altrincham",WA14 1RF,Trafford,E08000009,53.386595,-2.351119
Done Brothers (Cash Betting) Limited,"Betfred, 107 Ayres Road, Manchester",M16 7GS,Trafford,E08000009,53.458434,-2.267615
Done Brothers (Cash Betting) Limited,"Betfred, 175 Chorlton Road, Manchester",M16 7WS,Trafford,E08000009,53.45913,-2.257935
Done Brothers (Cash Betting) Limited,"Betfred, 34 Hale Road, Altrincham",WA14 2EX,Trafford,E08000009,53.381446,-2.348311
Done Brothers (Cash Betting) Limited,"Betfred, 349 Stockport Road, Timperley, Altrincham",WA15 7UG,Trafford,E08000009,53.397474,-2.318996
Done Brothers (Cash Betting) Limited,"Betfred, 41 School Road, Sale",M33 7YE,Trafford,E08000009,53.424978,-2.322663
Done Brothers (Cash Betting) Limited,"Betfred, 58 Coppice Avenue, Sale",M33 4WB,Trafford,E08000009,53.415269,-2.348768
Done Brothers (Cash Betting) Limited,"Betfred, 8 Brooklands Road, Sale",M33 3SQ,Trafford,E08000009,53.416836000000004,-2.325234
Done Brothers (Cash Betting) Limited,"Betfred, 890 Chester Road, Stretford, Manchester",M32 0PA,Trafford,E08000009,53.453882,-2.299481
Done Brothers (Cash Betting) Limited,"Betfred, 9/9A Lostock Road, Urmston, Manchester",M41 0SU,Trafford,E08000009,53.458028,-2.35454
Talarius Limited,"Quicksilver, 36 School Road, Sale",M33 7XF,Trafford,E08000009,53.425054,-2.320903
Summit Leisure (Deansgate) Limited,"Shaws Amusements, 65 School Road, Sale",M33 7YF,Trafford,E08000009,53.425145,-2.323402
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 2A-4 Regent Road, Altrincham",WA14 1RE,Trafford,E08000009,53.385669,-2.351442
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 676 Chester Road, Stretford, Manchester",M32 0SF,Trafford,E08000009,53.461369,-2.288659
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 9b Lostock Road, Urmston, Manchester",M41 0SU,Trafford,E08000009,53.458028,-2.35454
