name,cqc_id,type,address,postcode,telephone,website,provider,inspection_date,cqc_webpage,area_name,area_code,lon,lat
10 Spennithorne Road,1-466088203,Residential homes,"10 Spennithorne Road,Urmston,Manchester",M41 5BU,1617486414,NA,Future Directions CIC,2018-02-10,https://beta.cqc.org.uk/location/1-466088203,Trafford,E0800009,-2.365264,53.447614
Allingham House Care Centre,1-1938268568,Nursing homes,"Deansgate Lane,Timperley,Altrincham",WA15 6SQ,1619291783,NA,Maria Mallaband 16 Limited,2021-05-21,https://beta.cqc.org.uk/location/1-1938268568,Trafford,E0800009,-2.341537,53.399099
Amberley Care Home,1-8503184790,Nursing homes,"28 Delaunays Road,Sale",M33 6RX,1618258222,https://www.amberleycarehome.com,Amberley Care Home Limited,2021-08-17,https://beta.cqc.org.uk/location/1-8503184790,Trafford,E0800009,-2.334908,53.422427
Ann Challis,1-127443456,Residential homes,"128 Stretford Road,Urmston,Manchester",M41 9LT,1617483597,https://www.jemcareltd.co.uk,J.E.M. Care Limited,2022-03-10,https://beta.cqc.org.uk/location/1-127443456,Trafford,E0800009,-2.342776,53.446521
Ascot House,1-216385979,Residential homes,"Ascot Ave,Sale,Manchester",M33 4GT,1619620996,NA,Trafford Council,2019-01-31,https://beta.cqc.org.uk/location/1-216385979,Trafford,E0800009,-2.355164,53.417245
Ashlands Manor Care Centre,1-3537785301,Nursing homes|Residential homes,"2 Ashlands,Sale",M33 5PD,1619050760,https://www.newcarehomes.com,New Care Projects Sale (OPCO) Limited,2019-02-08,https://beta.cqc.org.uk/location/1-3537785301,Trafford,E0800009,-2.331857,53.424863
Ashton Lane,1-113737519,Residential homes,"47 Ashton Lane,Sale",M33 5PA,1619620978,https://www.stockdales.org.uk,"Stockdales Of Sale, Altrincham & District Ltd",2018-11-22,https://www.cqc.org.uk/location/1-113737519,Trafford,E0800009,-2.333581,53.425989
Away Day Care,1-9397179795,Residential homes|Homecare agencies|Supported living,"269 Church Road,Urmston,Manchester",M41 6EP,1617483844,NA,Away Day Care Limited,NA,https://beta.cqc.org.uk/location/1-9397179795,Trafford,E0800009,-2.375405,53.441659
Bange Nursing Homes Limited t/a Bradley House Nursing Home,1-118462477,Nursing homes,"2 Brooklands Crescent,Sale",M33 3NB,1619732580,https://www.bangenursinghomes.com,Bange Nursing Homes Limited,2019-10-18,https://www.cqc.org.uk/location/1-118462477,Trafford,E0800009,-2.322919,53.417047
Beckdale House,1-129616096,Residential homes,"3 Beaufort Road,Sale",M33 3WR,1619739393,https://www.milewood.co.uk,Care Network Solutions Limited,2017-09-06,https://beta.cqc.org.uk/location/1-129616096,Trafford,E0800009,-2.315423,53.416629
Beverley Park Nursing Home,1-122648952,Nursing homes,"22 Sandy Lane,Stretford,Manchester",M32 9DA,1618651883,NA,Beverley Park Nursing Home Limited,2021-03-03,https://beta.cqc.org.uk/location/1-122648952,Trafford,E0800009,-2.319437,53.44433
Bickham House,1-112588858,Residential homes,"Green Walk,Bowdon,Altrincham",WA14 2SN,1619282514,NA,Bickham House Trustees,2020-12-16,https://www.cqc.org.uk/location/1-112588858,Trafford,E0800009,-2.371445,53.381196
Bowfell House,1-7641014496,Residential homes,"2 Brook Road,Urmston,Manchester",M41 5RQ,1617553818,NA,The Knoll Care Partnership Limited,2021-10-26,https://beta.cqc.org.uk/location/1-7641014496,Trafford,E0800009,-2.374859,53.449768
Brookfield Nursing Home,1-5139150025,Nursing homes,"71 Crofts Bank Road,Urmston,Manchester",M41 0UB,1617475365,https://www.brookfieldnursinghome.com,Mrs R Hind,2021-05-24,https://beta.cqc.org.uk/location/1-5139150025,Trafford,E0800009,-2.354257,53.451126
Cheshire House,1-12429143433,Nursing homes,"22 St. Marys Road,Sale",M33 6SA,1619051228,https://www.consensussupport.com,Consensus Support Services Limited,2020-12-02,https://www.cqc.org.uk/location/1-12429143433,Trafford,E0800009,-2.332335,53.424403
Claremont Care Home,1-447730631,Residential homes,"254-256 Washway Road,Sale",M33 4RZ,1619737130,NA,Claremont Care Home Limited,2022-03-11,https://beta.cqc.org.uk/location/1-447730631,Trafford,E0800009,-2.335899,53.416537
Creative Support - Trafford Respite Service,1-493907710,Residential homes,"10 Shawe Road,Flixton,Trafford",M41 5DL,1617483562,https://www.creativesupport.co.uk,Creative Support Limited,2018-04-30,https://www.cqc.org.uk/location/1-493907710,Trafford,E0800009,-2.371364,53.44782
De Brook Lodge,1-1411133409,Residential homes,"110 Irlam Road,Flixton,Manchester",M41 6NA,1617559750,https://www.idealcarehomes.co.uk,Ideal Carehomes (Number One) Limited,2021-10-06,https://www.cqc.org.uk/location/1-1411133409,Trafford,E0800009,-2.393185,53.448253
EAM House,1-280605934,Nursing homes,"Manchester Road,Partington,Manchester",M31 4DJ,1617778511,https://www.eamcaregroup.co.uk,EAM House Limited,2021-09-23,https://beta.cqc.org.uk/location/1-280605934,Trafford,E0800009,-2.422618,53.420718
EAM Lodge (Trafford),1-2875180717,Nursing homes,"46 Manchester Road,Partington,Manchester",M31 4DJ,1617778511,https://www.eamcaregroup.co.uk,EAM Lodge Community Interest Company,2019-03-09,https://www.cqc.org.uk/location/1-2875180717,Trafford,E0800009,-2.422618,53.420718
Faversham House Nursing Home,1-135680885,Nursing homes,"59 Church Road,Urmston,Manchester",M41 9EJ,1617485998,NA,Mrs R Hind,2021-06-03,https://beta.cqc.org.uk/location/1-135680885,Trafford,E0800009,-2.358775,53.445818
Ferrol Lodge,1-3001064734,Residential homes,"49 Northenden Road,Sale",M33 2DL,1619624056,NA,Ferrol Lodge Care Home Limited,2020-12-22,https://beta.cqc.org.uk/location/1-3001064734,Trafford,E0800009,-2.313983,53.423392
