camera_id,location,area_name,area_code,lon,lat
1,"Trafford Wharf Road, Trafford Park",Trafford,E0800009,-2.284777,53.464515
6,"Chester Road/Sir Matt Busby Way, Old Trafford",Trafford,E0800009,-2.2880219999999998,53.461151
9,"The Quadrant, Old Trafford",Trafford,E0800009,-2.286269,53.452648
10,"Warwick Road/Talbot Road, Old Trafford",Trafford,E0800009,-2.286228,53.458356
11,"Talbot Road, Gorse Hill",Trafford,E0800009,-2.294119,53.455013
13,"Norris Road, Sale Moor",Trafford,E0800009,-2.298845,53.414913
15,"Marsland Road (Brooklands Metro Station), Sale",Trafford,E0800009,-2.325582,53.417326
16,"Goose Green, Altrincham",Trafford,E0800009,-2.350552,53.385287
24,"Edge Lane, Stretford",Trafford,E0800009,-2.304892,53.445577
25,"Chester Road (Subway 1), Stretford",Trafford,E0800009,-2.307037,53.446325
26,"Chester Road (Subway 2), Stretford",Trafford,E0800009,-2.306366,53.446066
30,"Seymour Grove, Old Trafford",Trafford,E0800009,-2.276369,53.461582
31,"Northumberland Road, Old Trafford",Trafford,E0800009,-2.268775,53.462879
32,"Henrietta Street, Old Trafford",Trafford,E0800009,-2.266267,53.463376
33,"Cornbrook Street, Old Trafford",Trafford,E0800009,-2.262538,53.464121
35,"Clifton Street, Old Trafford",Trafford,E0800009,-2.262504,53.462363
36,"Shrewsbury Street, Old Trafford",Trafford,E0800009,-2.260186,53.459859
37,"Albion Street/Prestege Street, Old Trafford",Trafford,E0800009,-2.26277,53.459408
38,"Powell Street, Old Trafford",Trafford,E0800009,-2.265667,53.458895
39,"St John's Road, Old Trafford",Trafford,E0800009,-2.268526,53.458392
40,"Ayres Road, Old Trafford",Trafford,E0800009,-2.272214,53.457764
60,"Plymouth Road/Bodmin Road (Health Centre), Sale West",Trafford,E0800009,-2.352147,53.427291
61,"Magnolia Court (North), Sale West",Trafford,E0800009,-2.356303,53.428986
62,"Magnolia Court (South), Sale West",Trafford,E0800009,-2.355984,53.428826
63,"Epping Drive, Sale West",Trafford,E0800009,-2.357242,53.426419
64,"Firsway/Goodwood Avenue, Sale West",Trafford,E0800009,-2.355949,53.421475
65,"Newbury Avenue, Sale West",Trafford,E0800009,-2.356537,53.418649
66,"Thirsk Avenue, Sale West",Trafford,E0800009,-2.358473,53.418574
68,"Chepstow Avenue, Sale West",Trafford,E0800009,-2.358317,53.417099
69,"Chepstow Avenue/Epsom Avenue, Sale West",Trafford,E0800009,-2.358595,53.415842
70,"Hurst Avenue, Sale West",Trafford,E0800009,-2.356562,53.414996
