area_code,area_name,geography,period,indicator,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,2499
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,76
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,42
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,8
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,9097
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1429
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,154
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,54
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,10
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,5934
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1959
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,97
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,51
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,3
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6768
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1812
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,71
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,32
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,3
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6756
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1534
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,192
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,66
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,6
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6595
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1920
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,115
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,33
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,3
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6583
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1557
