area_code,area_name,geography,period,indicator,residence_type,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,7227
E08000001,Bolton,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,118
E08000002,Bury,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,5007
E08000002,Bury,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,73
E08000003,Manchester,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,7512
E08000003,Manchester,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,216
E08000004,Oldham,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,5846
E08000004,Oldham,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,93
E08000005,Rochdale,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,5623
E08000005,Rochdale,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,114
E08000006,Salford,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,5906
E08000006,Salford,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,123
E08000007,Stockport,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,7842
E08000007,Stockport,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,165
E08000008,Tameside,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,6635
E08000008,Tameside,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,62
E08000009,Trafford,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,5234
E08000009,Trafford,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,109
E08000010,Wigan,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,10023
E08000010,Wigan,Local authority,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,111
