area_code,area_name,geography,period,indicator,student_status,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2968
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7986
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1349
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,5797
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1904
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6420
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1918
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6227
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1432
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6531
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1833
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6291
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1482
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6252
