area_code,area_name,geography,period,indicator,ethnic_diversity,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,286
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,164
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,24
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,36
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,24
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,156
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,366
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,30
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,68
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,38
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,128
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,324
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,35
