area_code,area_name,geography,period,indicator,ethnic_group,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Afghan",Count,Persons,139
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: African unspecified",Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: African Asian",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Anglo Indian",Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Arab",Count,Persons,4
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Asian British",Count,Persons,4
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Bangladeshi, British Bangladeshi",Count,Persons,120
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Black and Asian",Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Chinese",Count,Persons,148
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: English/Welsh/Scottish/Northern Irish/British",Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Filipino",Count,Persons,13
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Indian or British Indian",Count,Persons,1756
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Indonesian",Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Iranian",Count,Persons,31
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Japanese",Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Kashmiri",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Korean",Count,Persons,12
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Kurdish",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Malaysian",Count,Persons,8
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian",Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Mixed South Asian",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Myanmar or Burmese",Count,Persons,12
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Nepali (includes Gurkha)",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other Asian, Asian unspecified",Count,Persons,5
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other East Asian/ East Asian unspecified",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other Middle East",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other Mixed",Count,Persons,0
