area_code,area_name,geography,period,indicator,disability_category,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,9.3
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,80.7
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,8.5
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.5
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,80.9
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,11.4
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.9
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,77.7
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,9.5
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.4
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,80
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,9.8
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.7
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,79.6
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,10.3
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.9
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,78.9
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,7.6
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.4
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,81.9
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,9.6
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,11.2
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,79.2
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,7
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,9.6
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,83.4
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a lot,Percentage,Persons,9.4
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Disabled under the Equality Act: Day-to-day activities limited a little,Percentage,Persons,10.8
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by long-term health problems or disabilities. Residents who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses are considered disabled. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Not disabled under the Equality Act,Percentage,Persons,79.8
