area_code,area_name,geography,period,indicator,general_health,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,499
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,338
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,212
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,74
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,29
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,958
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,617
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,203
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,71
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,28
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,948
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,527
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,198
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,72
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,31
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,979
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,616
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,263
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,148
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,43
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,1029
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,652
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,213
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,83
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,13
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,686
