area_code,area_name,geography,period,indicator,unpaid_care,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,992
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,22
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,11
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,22
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,22
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1590
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,49
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,23
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,23
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,16
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,35
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1495
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,34
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,19
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,21
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,23
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,62
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1737
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,41
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,29
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,18
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,30
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,42
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1718
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,41
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,35
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,15
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,17
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,38
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1147
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,28
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,7
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,5
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,6
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1431
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,34
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,12
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,6
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,20
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,30
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1128
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,46
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,14
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,11
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,10
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,35
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1449
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,55
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,29
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,12
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,14
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,38
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1263
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,37
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,20
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,17
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,11
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,42
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1394
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,59
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,19
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,17
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,15
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,37
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1234
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,46
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,23
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,14
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,17
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,44
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1495
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,45
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,30
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,18
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,34
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,45
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1893
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,51
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,29
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,15
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,22
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,30
