area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,102
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,399
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1977
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,2030
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,123
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,81
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,49
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,294
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2279
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,309
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,142
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,16
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,8
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,27
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,95
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1331
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1414
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,677
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,60
