area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,846
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1481
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1576
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,1271
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,224
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,102
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,107
E05000819,Altrincham,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,595
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1896
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,833
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,818
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,77
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,45
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,61
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,1354
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,729
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,597
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,734
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,232
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,68
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,23
E05000821,Bowdon,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,808
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2888
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,944
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,839
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,21
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,33
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,37
E05000822,Broadheath,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,835
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2289
