area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,100
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2727
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,23
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,1187
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,36
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,162
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,133
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,379
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,15
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,37
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2723
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,5
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,76
