area_code,area_name,geography,period,indicator,bedroom_occupancy,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,35524
E08000001,Bolton,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,43439
E08000001,Bolton,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,33013
E08000001,Bolton,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,5328
E08000001,Bolton,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,1486
E08000002,Bury,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,28175
E08000002,Bury,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,29177
E08000002,Bury,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,20265
E08000002,Bury,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,2579
E08000002,Bury,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,499
E08000003,Manchester,Local authority,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,45341
