area_code,area_name,geography,period,indicator,bedroom_occupancy,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1989
E05000819,Altrincham,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,2154
E05000819,Altrincham,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1344
E05000819,Altrincham,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,118
E05000819,Altrincham,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,3
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1701
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1586
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,976
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,62
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,3
E05000821,Bowdon,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2068
E05000821,Bowdon,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1084
