area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,629
E05000819,Altrincham,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1669
E05000819,Altrincham,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2078
E05000819,Altrincham,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1232
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,488
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1069
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1635
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1136
E05000821,Bowdon,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,238
E05000821,Bowdon,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,815
E05000821,Bowdon,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1025
E05000821,Bowdon,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1660
E05000822,Broadheath,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,279
E05000822,Broadheath,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1353
E05000822,Broadheath,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2702
E05000822,Broadheath,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1238
