area_code,area_name,geography,period,indicator,household_rooms,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,443
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,9678
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,37065
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,38995
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,19612
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,8365
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,2974
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,975
E08000001,Bolton,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,685
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,362
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,6311
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,22676
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,22841
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,18240
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,6886
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,2179
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,745
E08000002,Bury,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,454
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,2957
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,29586
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,60979
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,60731
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,42839
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,12056
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,3359
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,1264
E08000003,Manchester,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,960
E08000004,Oldham,Local authority,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,367
