area_code,area_name,geography,period,indicator,household_rooms,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,97
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,506
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,1445
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,1378
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1320
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,541
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,202
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,61
E05000819,Altrincham,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,58
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,29
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,448
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,877
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,690
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1552
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,465
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,144
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,67
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,55
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,9
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,206
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,629
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,604
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,715
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,489
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,512
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,264
E05000821,Bowdon,Electoral ward,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,311
