area_code,area_name,geography,period,indicator,industry,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Crop and animal production, hunting and related service activities",Count,Persons,11
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Forestry and logging,Count,Persons,1
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Fishing and aquaculture,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining of coal and lignite,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Extraction of crude petroleum and natural gas,Count,Persons,6
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining of metal ores,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Other mining and quarrying,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining support service activities,Count,Persons,1
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of food products,Count,Persons,33
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of beverages,Count,Persons,6
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of tobacco products,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of textiles,Count,Persons,8
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of wearing apparel,Count,Persons,15
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of leather and related products,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of paper and paper products,Count,Persons,6
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Printing and reproduction of recorded media,Count,Persons,23
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of coke and refined petroleum products,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of chemicals and chemical products,Count,Persons,14
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of basic pharmaceutical products and pharmaceutical preparations,Count,Persons,42
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of rubber and plastic products,Count,Persons,19
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of other non-metallic mineral products,Count,Persons,7
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of basic metals,Count,Persons,5
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of fabricated metal products, except machinery and equipment",Count,Persons,18
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of computer, electrical and optical products",Count,Persons,32
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of electrical equipment,Count,Persons,7
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of machinery and equipment not otherwise specified,Count,Persons,9
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of motor vehicles, trailers and semi-trailers",Count,Persons,25
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of other transport equipment,Count,Persons,3
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of furniture,Count,Persons,4
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Other Manufacturing,Count,Persons,48
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Repair and installation of machinery and equipment,Count,Persons,6
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Electricity, gas, steam and air conditioning supply",Count,Persons,30
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Water collection, treatment and supply",Count,Persons,12
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Sewerage,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Waste collection, treatment and disposal activities; materials recovery",Count,Persons,31
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Remediation activities and other waste management services,Count,Persons,1
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Construction of buildings; Civil engineering; Specialised construction activities,Count,Persons,391
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Wholesale and retail trade and repair of motor vehicles and motorcycles,Count,Persons,44
E05000819,Altrincham,Electoral ward,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Wholesale trade, except of motor vehicles and motorcycles",Count,Persons,117
