area_code,area_name,geography,period,indicator,household_language,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,5048
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,202
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,100
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,257
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4071
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,108
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,44
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,105
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3476
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,146
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,47
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,70
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4902
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,246
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,178
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,246
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3854
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,155
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,82
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,115
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4018
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,65
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,30
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,71
E05000825,Clifford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3774
E05000825,Clifford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,703
E05000825,Clifford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,139
E05000825,Clifford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,591
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3847
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,72
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,20
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,46
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4001
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,66
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,14
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,26
E05000828,Flixton,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4494
E05000828,Flixton,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,56
E05000828,Flixton,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,14
E05000828,Flixton,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,40
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4532
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,229
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,101
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,204
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3448
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,207
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,64
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,102
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,3934
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,132
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,39
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,74
E05000832,Longford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4209
E05000832,Longford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,490
E05000832,Longford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,81
E05000832,Longford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,369
E05000833,Priory,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4508
E05000833,Priory,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,161
E05000833,Priory,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,86
E05000833,Priory,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,270
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4069
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,123
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,70
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,135
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4404
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,177
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,90
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,142
E05000836,Stretford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4203
E05000836,Stretford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,243
E05000836,Stretford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,62
E05000836,Stretford,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,161
E05000837,Timperley,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4160
E05000837,Timperley,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,100
E05000837,Timperley,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,53
E05000837,Timperley,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,70
E05000838,Urmston,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4709
E05000838,Urmston,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,97
E05000838,Urmston,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,27
E05000838,Urmston,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,79
E05000839,Village,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,4005
E05000839,Village,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,143
E05000839,Village,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,57
E05000839,Village,Electoral ward,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,117
