area_code,area_name,geography,period,indicator,proficiency,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,11426
E05000819,Altrincham,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,602
E05000819,Altrincham,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,352
E05000819,Altrincham,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,104
E05000819,Altrincham,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,15
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,9565
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,272
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,126
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,56
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,10
E05000821,Bowdon,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,8505
E05000821,Bowdon,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,262
E05000821,Bowdon,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,136
E05000821,Bowdon,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,34
E05000821,Bowdon,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,12
E05000822,Broadheath,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,12354
E05000822,Broadheath,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,870
E05000822,Broadheath,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,379
E05000822,Broadheath,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,156
E05000822,Broadheath,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,19
E05000823,Brooklands,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,9557
E05000823,Brooklands,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,417
E05000823,Brooklands,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,166
E05000823,Brooklands,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,66
E05000823,Brooklands,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,10
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,9416
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,137
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,112
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English well,Count,Persons,59
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Cannot speak English,Count,Persons,12
E05000825,Clifford,Electoral ward,2021-03-21,Proficiency in English,Main language is English,Count,Persons,10293
E05000825,Clifford,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English very well,Count,Persons,965
E05000825,Clifford,Electoral ward,2021-03-21,Proficiency in English,Main language is not English: Can speak English well,Count,Persons,936
