area_code,area_name,geography,period,indicator,language,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,English,Count,Persons,253869
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Welsh,Count,Persons,15
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Gaelic (Irish),Count,Persons,1
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Gaelic (Scottish),Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Manx Gaelic,Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Gaelic (Not otherwise specified),Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Cornish,Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Scots,Count,Persons,6
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Ulster Scots,Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Romany English,Count,Persons,4
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other UK language: Irish Traveller Cant,Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,French,Count,Persons,241
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Portuguese,Count,Persons,741
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Spanish,Count,Persons,460
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Italian,Count,Persons,509
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): German,Count,Persons,58
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Polish,Count,Persons,1708
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Slovak,Count,Persons,317
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Czech,Count,Persons,226
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Romanian,Count,Persons,756
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Lithuanian,Count,Persons,324
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Latvian,Count,Persons,41
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Hungarian,Count,Persons,912
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Bulgarian,Count,Persons,115
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Greek,Count,Persons,126
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Dutch,Count,Persons,68
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Swedish,Count,Persons,28
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Danish,Count,Persons,15
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Finnish,Count,Persons,1
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Estonian,Count,Persons,0
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Slovenian,Count,Persons,3
E08000001,Bolton,Local authority,2021-03-21,First or preferred language,Other European language (EU): Maltese,Count,Persons,3
