area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: British only identity,Frequency,Persons,174855
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: English only identity,Frequency,Persons,43323
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: English and British only identity,Frequency,Persons,43301
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity:  Welsh only identity,Frequency,Persons,418
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Welsh and British only identity,Frequency,Persons,199
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Scottish only identity,Frequency,Persons,802
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity:  Scottish and British only identity,Frequency,Persons,316
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Northern Irish only identity,Frequency,Persons,294
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Northern Irish and British only identity,Frequency,Persons,106
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Cornish only identity,Frequency,Persons,5
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Cornish and British only identity,Frequency,Persons,4
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Any other combination of UK identities (UK only),Frequency,Persons,239
E08000001,Bolton,Local authority,2021-03-21,National identity,UK identity: Other identity and at least one UK identity,Frequency,Persons,3842
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Guernsey Islander,Frequency,Persons,0
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Jersey Islander,Frequency,Persons,0
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Isle of Man (Manx),Frequency,Persons,10
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Channel Islander not otherwise specified,Frequency,Persons,0
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Irish only identity,Frequency,Persons,962
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Irish and at least one UK identity,Frequency,Persons,145
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: French,Frequency,Persons,195
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: German,Frequency,Persons,244
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Italian,Frequency,Persons,1981
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Portuguese,Frequency,Persons,1125
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Spanish (including Canary Islander),Frequency,Persons,1794
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries in March 2001,Frequency,Persons,1342
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries:  Lithuanian,Frequency,Persons,407
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries:  Polish,Frequency,Persons,1668
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Romanian,Frequency,Persons,805
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries,Frequency,Persons,1871
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: Non-EU countries: Turkish,Frequency,Persons,130
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: European: Non-EU countries: Other European,Frequency,Persons,1063
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: North African,Frequency,Persons,576
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: Central and Western African: Ghanaian,Frequency,Persons,47
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: Central and Western African: Nigerian,Frequency,Persons,525
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: Central and Western African: Other Central and Western African,Frequency,Persons,985
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: South and Eastern African: Kenyan,Frequency,Persons,50
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: South and Eastern African: Somali,Frequency,Persons,842
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: South and Eastern African: South African,Frequency,Persons,70
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: South and Eastern African: Zimbabwean,Frequency,Persons,179
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: African: South and Eastern African: Other South and Eastern African,Frequency,Persons,657
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish,Frequency,Persons,274
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian,Frequency,Persons,370
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi,Frequency,Persons,309
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern,Frequency,Persons,319
