area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,726
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,83
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,69
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,3
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,0
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,5
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,0
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,0
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,1
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,2
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,0
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,230
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,22
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,236
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,22
