area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,133235
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,8215
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,8954
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,10602
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,10673
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,9544
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,8565
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,9880
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,8039
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,7283
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,6661
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,6936
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,7928
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 to 64 years,6924
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 to 69 years,7034
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 to 74 years,6343
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 to 79 years,4913
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 to 84 years,2954
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years and over,1775
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,All ages,126993
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years and under,8651
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 to 9 years,9733
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 to 14 years,11303
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 to 19 years,11142
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 to 24 years,9417
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 to 29 years,9002
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 to 34 years,10190
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 to 39 years,8547
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 to 44 years,7604
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 to 49 years,6859
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 to 54 years,6849
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 to 59 years,7619
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 to 64 years,6004
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 to 69 years,5503
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 to 74 years,4304
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 to 79 years,2601
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 to 84 years,1125
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years and over,553
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,All ages,260228
