area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,All ages,114101
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 4 years and under,6200
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 5 to 9 years,6952
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 10 to 14 years,8981
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 15 to 19 years,9790
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 20 to 24 years,8048
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 25 to 29 years,7207
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 30 to 34 years,8069
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 35 to 39 years,6921
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 40 to 44 years,6692
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 45 to 49 years,6406
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 50 to 54 years,6708
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 55 to 59 years,6771
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 60 to 64 years,5937
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 65 to 69 years,5770
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 70 to 74 years,5391
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 75 to 79 years,4052
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 80 to 84 years,2592
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Females,Aged 85 years and over,1609
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,All ages,106901
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 4 years and under,6382
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 5 to 9 years,7325
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 10 to 14 years,9465
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 15 to 19 years,10109
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 20 to 24 years,8381
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 25 to 29 years,7187
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 30 to 34 years,8147
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 35 to 39 years,6685
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 40 to 44 years,6546
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 45 to 49 years,6442
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 50 to 54 years,6443
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 55 to 59 years,6450
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 60 to 64 years,5417
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 65 to 69 years,4620
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 70 to 74 years,3686
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 75 to 79 years,2209
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 80 to 84 years,977
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Males,Aged 85 years and over,433
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,All ages,221002
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 4 years and under,12582
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 5 to 9 years,14277
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 10 to 14 years,18446
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 15 to 19 years,19899
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 20 to 24 years,16429
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 25 to 29 years,14394
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 30 to 34 years,16216
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 35 to 39 years,13606
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 40 to 44 years,13238
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 45 to 49 years,12848
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 50 to 54 years,13151
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 55 to 59 years,13221
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 60 to 64 years,11354
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 65 to 69 years,10390
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 70 to 74 years,9077
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 75 to 79 years,6261
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 80 to 84 years,3569
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Frequency,Usual residents,Persons,Aged 85 years and over,2042
