period,area_code,area_name,geography,sex,age_group,usual_residents
1981-04-05,E08000001,Bolton,Local authority,Females,All ages,133235
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 4 years and under,8215
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 5 to 9 years,8954
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 10 to 14 years,10602
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 15 to 19 years,10673
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 20 to 24 years,9544
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 25 to 29 years,8565
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 30 to 34 years,9880
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 35 to 39 years,8039
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 40 to 44 years,7283
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 45 to 49 years,6661
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 50 to 54 years,6936
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 55 to 59 years,7928
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 60 to 64 years,6924
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 65 to 69 years,7034
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 70 to 74 years,6343
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 75 to 79 years,4913
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 80 to 84 years,2954
1981-04-05,E08000001,Bolton,Local authority,Females,Aged 85 years and over,1775
1981-04-05,E08000001,Bolton,Local authority,Males,All ages,126993
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 4 years and under,8651
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 5 to 9 years,9733
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 10 to 14 years,11303
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 15 to 19 years,11142
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 20 to 24 years,9417
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 25 to 29 years,9002
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 30 to 34 years,10190
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 35 to 39 years,8547
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 40 to 44 years,7604
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 45 to 49 years,6859
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 50 to 54 years,6849
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 55 to 59 years,7619
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 60 to 64 years,6004
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 65 to 69 years,5503
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 70 to 74 years,4304
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 75 to 79 years,2601
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 80 to 84 years,1125
1981-04-05,E08000001,Bolton,Local authority,Males,Aged 85 years and over,553
1981-04-05,E08000001,Bolton,Local authority,Persons,All ages,260228
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 4 years and under,16866
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 5 to 9 years,18687
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 10 to 14 years,21905
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 15 to 19 years,21815
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 20 to 24 years,18961
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 25 to 29 years,17567
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 30 to 34 years,20070
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 35 to 39 years,16586
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 40 to 44 years,14887
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 45 to 49 years,13520
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 50 to 54 years,13785
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 55 to 59 years,15547
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 60 to 64 years,12928
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 65 to 69 years,12537
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 70 to 74 years,10647
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 75 to 79 years,7514
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 80 to 84 years,4079
1981-04-05,E08000001,Bolton,Local authority,Persons,Aged 85 years and over,2328
1991-04-21,E08000001,Bolton,Local authority,Females,All ages,132958
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 4 years and under,9050
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 5 to 9 years,8472
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 10 to 14 years,7982
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 15 to 19 years,8695
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 20 to 24 years,9947
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 25 to 29 years,10012
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 30 to 34 years,9260
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 35 to 39 years,8337
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 40 to 44 years,9585
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 45 to 49 years,7857
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 50 to 54 years,6898
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 55 to 59 years,6270
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 60 to 64 years,6428
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 65 to 69 years,6931
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 70 to 74 years,5705
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 75 to 79 years,5106
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 80 to 84 years,3677
1991-04-21,E08000001,Bolton,Local authority,Females,Aged 85 years and over,2746
1991-04-21,E08000001,Bolton,Local authority,Males,All ages,125626
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 4 years and under,9349
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 5 to 9 years,9205
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 10 to 14 years,8447
