area_code,area_name,geography,period,indicator,measure,unit,value
E08000001,Bolton,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,1861.53314596011
E08000001,Bolton,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1849.77284156566
E08000001,Bolton,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1867.30599610994
E08000001,Bolton,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,1979.98029934409
E08000001,Bolton,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2117
E08000002,Bury,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,1764.03875311179
E08000002,Bury,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1777.18971570594
E08000002,Bury,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1815.84831752134
E08000002,Bury,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,1860.64001351291
E08000002,Bury,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1949
E08000003,Manchester,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,3784.42435483382
E08000003,Manchester,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3500.78902882441
E08000003,Manchester,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,3396.63722400204
E08000003,Manchester,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,4350.48444208096
E08000003,Manchester,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4773
E08000004,Oldham,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,1541.75418876672
E08000004,Oldham,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1521.17039586919
E08000004,Oldham,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1526.41820928026
E08000004,Oldham,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,1579.94309599915
E08000004,Oldham,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1701
E08000005,Rochdale,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,1304.83449810628
E08000005,Rochdale,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1278.48244556154
E08000005,Rochdale,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1298.66228709508
E08000005,Rochdale,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,1338.78165866787
E08000005,Rochdale,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1415
E08000006,Salford,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,2484.86070615057
E08000006,Salford,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2268.19853205949
E08000006,Salford,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,2223.40309514451
E08000006,Salford,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,2406.78248595127
E08000006,Salford,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2777
E08000007,Stockport,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,2292.77279348526
E08000007,Stockport,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2256.37970047699
E08000007,Stockport,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,2257.45078562111
E08000007,Stockport,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,2247.49366076274
E08000007,Stockport,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2339
E08000008,Tameside,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,2104.06362513596
E08000008,Tameside,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2098.13075958128
E08000008,Tameside,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,2065.26733763627
E08000008,Tameside,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,2126.17615181931
E08000008,Tameside,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2240
E08000009,Trafford,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,2084.04765542045
E08000009,Trafford,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2006.05217050184
E08000009,Trafford,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1981.64734460783
E08000009,Trafford,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,2136.62930502826
E08000009,Trafford,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2217
E08000010,Wigan,Local authority,1981-04-05,Usual resident population density,Rate,Number of usual residents per square kilometre,1635.33613822739
E08000010,Wigan,Local authority,1991-04-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1628.94833478679
E08000010,Wigan,Local authority,2001-04-29,Usual resident population density,Rate,Number of usual residents per square kilometre,1601.81877025749
E08000010,Wigan,Local authority,2011-03-27,Usual resident population density,Rate,Number of usual residents per square kilometre,1689.14886504888
E08000010,Wigan,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1750
