area_code,area_name,geography,period,indicator,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,One person household: Aged 66 years and over,Frequency,Households,15389
E08000001,Bolton,Local authority,2021-03-21,One person household: Other,Frequency,Households,21132
E08000001,Bolton,Local authority,2021-03-21,Single family household: All aged 66 years and over,Frequency,Households,10058
E08000001,Bolton,Local authority,2021-03-21,Single family household: Married or civil partnership couple: No children,Frequency,Households,11114
E08000001,Bolton,Local authority,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Frequency,Households,18079
E08000001,Bolton,Local authority,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Frequency,Households,7239
E08000001,Bolton,Local authority,2021-03-21,Single family household: Cohabiting couple family: No children,Frequency,Households,5927
E08000001,Bolton,Local authority,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Frequency,Households,6194
E08000001,Bolton,Local authority,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Frequency,Households,1000
E08000001,Bolton,Local authority,2021-03-21,Single family household: Lone parent family: With dependent children,Frequency,Households,9492
E08000001,Bolton,Local authority,2021-03-21,Single family household: Lone parent family: All children non-dependent,Frequency,Households,5492
E08000001,Bolton,Local authority,2021-03-21,Single family household: Other single family household: Other family composition,Frequency,Households,809
E08000001,Bolton,Local authority,2021-03-21,Multiple-family household: With dependent children,Frequency,Households,3988
E08000001,Bolton,Local authority,2021-03-21,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",Frequency,Households,2877
E08000002,Bury,Local authority,2021-03-21,One person household: Aged 66 years and over,Frequency,Households,10646
E08000002,Bury,Local authority,2021-03-21,One person household: Other,Frequency,Households,14234
E08000002,Bury,Local authority,2021-03-21,Single family household: All aged 66 years and over,Frequency,Households,7288
E08000002,Bury,Local authority,2021-03-21,Single family household: Married or civil partnership couple: No children,Frequency,Households,7946
E08000002,Bury,Local authority,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Frequency,Households,12192
E08000002,Bury,Local authority,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Frequency,Households,4723
E08000002,Bury,Local authority,2021-03-21,Single family household: Cohabiting couple family: No children,Frequency,Households,4803
E08000002,Bury,Local authority,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Frequency,Households,4001
E08000002,Bury,Local authority,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Frequency,Households,689
E08000002,Bury,Local authority,2021-03-21,Single family household: Lone parent family: With dependent children,Frequency,Households,6057
E08000002,Bury,Local authority,2021-03-21,Single family household: Lone parent family: All children non-dependent,Frequency,Households,3569
E08000002,Bury,Local authority,2021-03-21,Single family household: Other single family household: Other family composition,Frequency,Households,501
E08000002,Bury,Local authority,2021-03-21,Multiple-family household: With dependent children,Frequency,Households,1997
E08000002,Bury,Local authority,2021-03-21,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",Frequency,Households,2051
E08000003,Manchester,Local authority,2021-03-21,One person household: Aged 66 years and over,Frequency,Households,18712
