area_code,area_name,geography,period,indicator,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,55
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,229
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,9
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,23
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,57
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,16
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,11
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,2
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,46
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,23
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,13
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,22
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,15
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,51
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,105
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,18
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,39
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,134
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,28
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,33
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,37
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,2
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,64
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,51
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,10
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,34
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,49
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,42
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,86
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,8
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,16
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,109
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,31
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,21
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,23
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,3
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,78
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,60
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,11
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,39
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,31
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,100
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,114
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,14
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,30
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,119
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,39
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,20
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,20
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,2
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,84
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,47
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,11
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,55
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,46
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,37
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,215
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,12
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,44
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,120
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,32
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,85
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,25
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,1
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,50
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,30
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,25
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,45
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,65
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,11
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,388
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,40
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,19
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Count,Households,2
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Count,Households,151
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Count,Households,4
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Count,Households,0
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Count,Households,26
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Count,Households,10
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Count,Households,18
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Other household types: With dependent children,Count,Households,8
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,"Other household types: Other, including all full-time students and all aged 66 years and over",Count,Households,73
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,One-person household: Aged 66 years and over,Count,Households,90
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,One-person household: Other,Count,Households,276
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Count,Households,13
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Count,Households,35
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Count,Households,97
