area_code,area_name,geography,period,indicator,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,One person household: Aged 66 years and over,Frequency,Households,387
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,One person household: Other,Frequency,Households,1414
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Frequency,Households,73
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Frequency,Households,227
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Frequency,Households,653
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Frequency,Households,153
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Frequency,Households,378
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Frequency,Households,135
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Frequency,Households,12
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Frequency,Households,423
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Lone parent family: All children non-dependent,Frequency,Households,248
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Single family household: Other single family household: Other family composition,Frequency,Households,105
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Multiple-family household: With dependent children,Frequency,Households,223
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",Frequency,Households,331
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,One person household: Aged 66 years and over,Frequency,Households,402
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,One person household: Other,Frequency,Households,336
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: All aged 66 years and over,Frequency,Households,331
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: No children,Frequency,Households,342
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: Dependent children,Frequency,Households,578
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Married or civil partnership couple: All children non-dependent,Frequency,Households,250
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: No children,Frequency,Households,175
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: With dependent children,Frequency,Households,141
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Cohabiting couple family: All children non-dependent,Frequency,Households,28
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Single family household: Lone parent family: With dependent children,Frequency,Households,197
