area_code,area_name,geography,period,indicator,measure,unit,value
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,176
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,174
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,105
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,115
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,44
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,11
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,423
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,334
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,112
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,134
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,30
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,5
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,318
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,300
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,88
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,71
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,24
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,5
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,4
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,327
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,260
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,113
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,64
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,26
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,6
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,3
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,343
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,340
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,161
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,110
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,23
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,7
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,264
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,363
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,166
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,201
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,44
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,10
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,242
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,273
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,152
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,129
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,18
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,9
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,3
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,82
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,194
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,82
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,92
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,36
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,10
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,3
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,3
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,216
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,264
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,79
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,76
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,31
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,7
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,81
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,184
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,84
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,98
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,28
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,7
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,1
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,116
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,208
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,118
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,134
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,47
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,8
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,4
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,176
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,220
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,92
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,107
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,22
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,8
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,177
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,201
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,108
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,110
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,41
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,15
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,105
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,226
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,99
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,88
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,31
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,5
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,5
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,3
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,179
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,195
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,132
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,124
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,25
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,6
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,192
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,265
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,165
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,143
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,33
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,10
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,317
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,332
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,167
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,134
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,31
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,6
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,311
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,317
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,225
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,211
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,69
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,17
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,5
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,3
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,115
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,141
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,119
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,85
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,33
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,11
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,1
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,154
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,209
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,113
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,111
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,25
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,7
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,0
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,141
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,162
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,102
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,133
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,37
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,16
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,1
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,194
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,200
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,135
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,122
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,27
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,3
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,92
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,179
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,112
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,147
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,34
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,10
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,322
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,271
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,90
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,99
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,36
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,5
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,1
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,1
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,125
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,165
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,72
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,120
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,26
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,3
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,157
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,167
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,99
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,100
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,13
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,8
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,166
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,181
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,108
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,110
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,25
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,9
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,8 or more people in household,Frequency,Households,0
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,1 person in household,Frequency,Households,83
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,2 people in household,Frequency,Households,191
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,3 people in household,Frequency,Households,108
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,4 people in household,Frequency,Households,129
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,5 people in household,Frequency,Households,25
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,6 people in household,Frequency,Households,6
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,7 people in household,Frequency,Households,2
