area_code,area_name,geography,period,indicator,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1801
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1212
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,675
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,483
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,304
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,167
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,66
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,56
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,738
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1067
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,602
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,505
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,122
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,32
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,7
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1125
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1147
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,627
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,451
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,196
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,74
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,25
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,20
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,841
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,798
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,485
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,472
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,252
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,129
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,61
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,45
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,883
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1190
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,598
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,533
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,160
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,37
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,6
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,3
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,772
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1060
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,596
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,549
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,215
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,74
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,19
