area_code,area_name,geography,period,indicator,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,118800
E08000002,Bury,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,80700
E08000003,Manchester,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,214700
E08000004,Oldham,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,93100
E08000005,Rochdale,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,90200
E08000006,Salford,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,115100
E08000007,Stockport,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,126600
E08000008,Tameside,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,99500
E08000009,Trafford,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,96300
E08000010,Wigan,Local authority,2021-03-21,Number of households with at least one usual resident,Frequency,Households,143100
