period,area_code,area_name,geography,number_of_households
2021-03-21,E08000001,Bolton,Local authority,118800
2021-03-21,E08000002,Bury,Local authority,80700
2021-03-21,E08000003,Manchester,Local authority,214700
2021-03-21,E08000004,Oldham,Local authority,93100
2021-03-21,E08000005,Rochdale,Local authority,90200
2021-03-21,E08000006,Salford,Local authority,115100
2021-03-21,E08000007,Stockport,Local authority,126600
2021-03-21,E08000008,Tameside,Local authority,99500
2021-03-21,E08000009,Trafford,Local authority,96300
2021-03-21,E08000010,Wigan,Local authority,143100
