area_code,area_name,geography,period,indicator,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 4 years and under,Count,Persons,768
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 5 to 9 years,Count,Persons,782
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 10 to 14 years,Count,Persons,788
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 15 to 19 years,Count,Persons,815
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 20 to 24 years,Count,Persons,1148
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 25 to 29 years,Count,Persons,1178
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 30 to 34 years,Count,Persons,1020
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 35 to 39 years,Count,Persons,999
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 40 to 44 years,Count,Persons,866
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 45 to 49 years,Count,Persons,703
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 50 to 54 years,Count,Persons,627
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 55 to 59 years,Count,Persons,632
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 60 to 64 years,Count,Persons,466
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 65 to 69 years,Count,Persons,297
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 70 to 74 years,Count,Persons,211
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 75 to 79 years,Count,Persons,131
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 80 to 84 years,Count,Persons,160
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Aged 85 years and over,Count,Persons,130
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 4 years and under,Count,Persons,435
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 5 to 9 years,Count,Persons,456
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 10 to 14 years,Count,Persons,455
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 15 to 19 years,Count,Persons,424
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 20 to 24 years,Count,Persons,315
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 25 to 29 years,Count,Persons,361
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 30 to 34 years,Count,Persons,509
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 35 to 39 years,Count,Persons,542
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 40 to 44 years,Count,Persons,468
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Aged 45 to 49 years,Count,Persons,489
