area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged under 1 year,1751
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 1 year,1838
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 2 years,1785
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 3 years,1854
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years,1859
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 years,1914
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 6 years,1936
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 7 years,1984
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 8 years,2074
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 9 years,2068
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 years,2068
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 11 years,2112
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 12 years,1995
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 13 years,1964
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 14 years,1935
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 years,1877
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 16 years,1881
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 17 years,1859
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 18 years,1579
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 19 years,1486
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 years,1399
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 21 years,1570
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 22 years,1674
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 23 years,1671
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 24 years,1802
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 years,1721
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 26 years,1826
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 27 years,1797
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 28 years,1920
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 29 years,2021
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 years,2205
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 31 years,2121
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 32 years,2047
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 33 years,2253
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 34 years,2137
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 years,2190
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 36 years,2028
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 37 years,2070
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 38 years,2033
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 39 years,1993
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 years,2056
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 41 years,1989
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 42 years,1771
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 43 years,1787
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 44 years,1650
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 years,1753
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 46 years,1809
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 47 years,1815
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 48 years,1950
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 49 years,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 years,2031
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 51 years,1954
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 52 years,1931
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 53 years,2093
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 54 years,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 years,2019
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 56 years,2063
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 57 years,1919
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 58 years,1843
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 59 years,1857
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 years,1697
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 61 years,1656
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 62 years,1624
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 63 years,1553
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 64 years,1599
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 years,1378
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 66 years,1485
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 67 years,1421
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 68 years,1392
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 69 years,1340
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 years,1338
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 71 years,1476
