area_code,area_name,geography,period,sex,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over
E08000001,Bolton,Local authority,2021-03-21,All persons,295960,63672,181568,50720
E08000001,Bolton,Local authority,2021-03-21,Female,150052,31014,91718,27320
E08000001,Bolton,Local authority,2021-03-21,Male,145908,32658,89850,23400
E08000002,Bury,Local authority,2021-03-21,All persons,193855,38975,119428,35452
E08000002,Bury,Local authority,2021-03-21,Female,98748,18875,60520,19353
E08000002,Bury,Local authority,2021-03-21,Male,95107,20100,58908,16099
E08000003,Manchester,Local authority,2021-03-21,All persons,551944,113979,385792,52173
E08000003,Manchester,Local authority,2021-03-21,Female,277882,56067,193916,27899
E08000003,Manchester,Local authority,2021-03-21,Male,274062,57912,191876,24274
E08000004,Oldham,Local authority,2021-03-21,All persons,242094,55053,148426,38615
E08000004,Oldham,Local authority,2021-03-21,Female,123774,27085,75720,20969
E08000004,Oldham,Local authority,2021-03-21,Male,118320,27968,72706,17646
E08000005,Rochdale,Local authority,2021-03-21,All persons,223770,48826,138076,36868
E08000005,Rochdale,Local authority,2021-03-21,Female,114053,23642,70524,19887
E08000005,Rochdale,Local authority,2021-03-21,Male,109717,25184,67552,16981
E08000006,Salford,Local authority,2021-03-21,All persons,269919,53003,180996,35920
E08000006,Salford,Local authority,2021-03-21,Female,134386,25772,89381,19233
E08000006,Salford,Local authority,2021-03-21,Male,135533,27231,91615,16687
E08000007,Stockport,Local authority,2021-03-21,All persons,294766,55843,179646,59277
E08000007,Stockport,Local authority,2021-03-21,Female,151375,27206,91658,32511
E08000007,Stockport,Local authority,2021-03-21,Male,143391,28637,87988,26766
E08000008,Tameside,Local authority,2021-03-21,All persons,231075,45940,144622,40513
E08000008,Tameside,Local authority,2021-03-21,Female,117796,22336,73575,21885
E08000008,Tameside,Local authority,2021-03-21,Male,113279,23604,71047,18628
E08000009,Trafford,Local authority,2021-03-21,All persons,235048,48896,144860,41292
E08000009,Trafford,Local authority,2021-03-21,Female,120644,23863,74019,22762
E08000009,Trafford,Local authority,2021-03-21,Male,114404,25033,70841,18530
E08000010,Wigan,Local authority,2021-03-21,All persons,329321,60635,205089,63597
E08000010,Wigan,Local authority,2021-03-21,Female,166328,29395,102925,34008
E08000010,Wigan,Local authority,2021-03-21,Male,162993,31240,102164,29589
