area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,All persons,3541
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Female,1751
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Male,1790
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,All persons,3731
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Female,1838
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Male,1893
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,All persons,3605
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Female,1785
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Male,1820
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,All persons,3686
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Female,1854
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Male,1832
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,All persons,3893
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Female,1859
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Male,2034
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,All persons,3840
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,Female,1914
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,Male,1926
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,All persons,4035
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,Female,1936
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,Male,2099
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,All persons,4069
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,Female,1984
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,Male,2085
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,All persons,4220
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,Female,2074
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,Male,2146
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 9 years,All persons,4270
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 9 years,Female,2068
