area_code,area_name,geography,period,indicator,measure,unit,value
E08000009,Trafford,Local authority,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2216.7
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6566.9
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1130.6
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4169.2
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5396
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2337.9
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2163.3
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2375.5
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2028.7
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2717.6
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3676
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3414
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4270.2
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2855.4
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3545.4
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5084
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4041.5
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,681.1
