area_code,area_name,geography,period,indicator,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,2117
E08000002,Bury,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,1948.6
E08000003,Manchester,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,4772.7
E08000004,Oldham,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,1700.5
E08000005,Rochdale,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,1415.6
E08000006,Salford,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,2777.2
E08000007,Stockport,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,2338.3
E08000008,Tameside,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,2239.7
E08000009,Trafford,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,2216.7
E08000010,Wigan,Local authority,2021-03-21,Usual resident population density,Frequency,Number of usual residents per square kilometre,1750
