area_code,area_name,geography,period,indicator,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6020.9
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,15377
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,16048.8
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,10534.7
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3296.9
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3940.7
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6590.6
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5207.8
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4917.7
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3904.9
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6318.4
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,264.7
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6060.9
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2946
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3214.2
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7969.9
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,9579.9
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7388.6
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7918.6
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3072.7
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5112.8
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2184.6
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1281.8
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2630.7
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6436.4
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2517.7
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7098.2
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,572.2
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6073.9
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6507.3
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7614.8
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2692
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4067.3
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1831.9
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6186.3
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1176.8
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4724.8
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1917.3
