area_code,area_name,geography,period,indicator,religion,measure,unit,value
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,597
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,819
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,3
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,31
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,15
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,66
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,7
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,9
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,96
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,711
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,1087
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,28
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,90
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,29
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,73
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,3
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,8
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,119
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,466
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,864
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,9
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,23
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,148
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,92
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,2
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,4
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,66
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,644
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,788
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,5
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,23
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,35
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,69
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,4
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,6
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,70
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,913
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,891
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,9
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,91
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,7
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,95
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,3
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,11
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,100
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,866
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,1084
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,14
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,175
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,59
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,212
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,12
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,10
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,165
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,766
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,996
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,7
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,33
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,15
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,37
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,3
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,6
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,105
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,247
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,688
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,7
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,94
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,102
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,153
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,7
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,1
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,86
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,426
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,808
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,11
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,28
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Frequency,Persons,107
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Frequency,Persons,37
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Frequency,Persons,0
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Other religion,Frequency,Persons,2
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Not answered,Frequency,Persons,77
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,No religion,Frequency,Persons,330
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Frequency,Persons,752
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Frequency,Persons,6
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Frequency,Persons,3
