area_code,area_name,geography,period,indicator,sexual_orientation,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,7822
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,305
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,176
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,75
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,845
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,5673
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,80
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,50
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,9
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,341
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6060
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,210
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,122
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,23
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,504
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6072
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,159
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,88
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,35
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,508
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6436
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,73
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,31
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,11
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,308
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6068
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,117
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,68
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,18
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,464
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6102
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,74
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,57
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,14
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,389
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,5024
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,111
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,70
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,23
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,352
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,5485
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,131
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,82
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,23
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,328
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,5326
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,99
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,42
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,12
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,340
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,6025
