name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Smile Dental Care Salford,Dentist,"390 Manchester Road East, Little Hulton, Salford",M38 9WH,1617903377,http://www.smile-dentalcare.co.uk,Salford,E0800006,-2.418753,53.529467
J. Sainsbury - Leigh,Dentist,"Atherleigh Way, Leigh",WN7 5SJ,1612070002,http://www.centrefordentistry.com,Wigan,E08000010,-2.527795,53.499416
Little Lever Dental Practice,Dentist,"100 High Street, Little Lever, Bolton",BL3 1LR,1204574908,NA,Bolton,E0800001,-2.368853,53.561055
Smy Life,Dentist,"Pall Mall, Manchester",M2 4DL,1618307300,NA,Manchester,E0800003,-2.243418,53.480445
Unidental,Dentist,"10 Vernon Street, Stockport",SK1 1TY,1614808040,NA,Stockport,E0800007,-2.156764,53.41233
Penny Meadow Dental Practice,Dentist,"53 Penny Meadow, Ashton Under Lyne",OL6 6HE,1613302419,http://www.pennymeadowdental.co.uk,Tameside,E0800008,-2.089079,53.489873
Ravat & Ray Dental Care (Bolton One),Dentist,"Bolton One, Moor Lane, Bolton",BL3 5BN,1204527769,http://www.ravatandray.com,Bolton,E0800001,-2.435246,53.573928
Mydentist - Manchester Road - Oldham,Dentist,"580 Manchester Road, Hollinwood, Oldham",OL9 7LS,1616811022,http://www.mydentist.co.uk,Oldham,E0800004,-2.143803,53.520731
Mydentist - Church Street - Westhoughton,Dentist,"60 Church Street, Westhoughton, Bolton",BL5 3RS,1942815769,http://www.mydentist.co.uk,Bolton,E0800001,-2.525015,53.550036
Mydentist - Crab Tree Lane - Manchester,Dentist,"17 Crab Tree Lane, Atherton, Manchester",M46 0AU,1942883103,http://www.mydentist.org.uk,Wigan,E08000010,-2.491323,53.52235
Mydentist - Parsonage Street - Bury,Dentist,"1-5 Parsonage Street, Bury",BL9 6BG,1617643993,http://www.mydentist.co.uk,Bury,E0800002,-2.28154,53.59657
Mydentist - Church Street - Eccles,Dentist,"107 Church Street, Eccles, Manchester",M30 0EJ,1617889815,http://www.mydentist.co.uk,Salford,E0800006,-2.338336,53.482659
Mydentist - Tonge Moor Road - Bolton,Dentist,"513 Tonge Moor Road, Bolton",BL2 3BG,1204596500,http://www.mydentist.co.uk,Bolton,E0800001,-2.411601,53.596123
Mydentist - St. Marys Place - Bury,Dentist,"2 St. Marys Place, Bury",BL9 0DZ,1617644151,http://www.idhgroup.co.uk,Bury,E0800002,-2.300288,53.591547
Queens Road Dental and Cosmetic Centre,Dentist,"337 Queens Road, Manchester",M8 0JL,1612051113,NA,Manchester,E0800003,-2.225528,53.50234
Mydentist - Standishgate - Wigan,Dentist,"100 Standishgate, Wigan",WN1 1XP,1942242620,http://www.idhgroup.co.uk,Wigan,E08000010,-2.628308,53.550802
Mydentist - Advanced Oral Health Centre - Red Rose - Wigan,Dentist,"50 New Market Street, Wigan",WN1 1SJ,1942242632,http://www.mydentist.co.uk,Wigan,E08000010,-2.631877,53.550202
Mydentist - Moor Road - Orrell,Dentist,"7 Moor Road, Orrell, Wigan",WN5 8ND,1942215091,http://www.mydentist.co.uk,Wigan,E08000010,-2.704943,53.53925
Mydentist - Atherton Road - Hindley,Dentist,"51 Atherton Road, Hindley, Wigan",WN2 3EA,1942258888,http://www.mydentist.co.uk,Wigan,E08000010,-2.57969,53.532885
Mydentist - High Street - Cheadle,Dentist,"19a High Street, Cheadle",SK8 1AX,1614911936,http://www.idhgroup.co.uk,Stockport,E0800007,-2.214146,53.394733
360 Dental Care Limited,Dentist,"6 Southern Street, Manchester",M3 4NJ,1618341e3,http://www.360dentalcare.co.uk,Manchester,E0800003,-2.2520539999999998,53.475591
Drake Dental Practice,Dentist,"113 Drake Street, Rochdale",OL16 1PZ,1706644717,NA,Rochdale,E0800005,-2.155723,53.612379
Levenshulme Dental Practice,Dentist,"773 Stockport Road, Levenshulme, Manchester",M19 3DL,1612251589,NA,Manchester,E0800003,-2.19101,53.446816
Kings Dental Centre,Dentist,"Unit 3 Garratt Way, Manchester",M18 8HE,1612208180,NA,Manchester,E0800003,-2.176031,53.461982
Spring Lane Dental Practice Limited,Dentist,"27 Spring Lane, Radcliffe, Manchester",M26 2TQ,1617248500,NA,Bury,E0800002,-2.32699,53.563083
Ainsworth Village Dental Practice,Dentist,"11 Church Street, Ainsworth, Bolton",BL2 5RA,1204382828,NA,Bury,E0800002,-2.35782,53.588135
Harwood Dental Care,Dentist,"21 Longsight, Harwood, Bolton",BL2 3HS,1204304568,http://www.harwooddentalcare.co.uk,Bolton,E0800001,-2.393855,53.60509
Mydentist - Morris Street - Manchester,Dentist,"Constable House, Morris Street, Withington, Manchester",M20 3HN,1614454749,http://www.mydentist.co.uk,Manchester,E0800003,-2.230465,53.434376
Langley Dental Practice (Rochdale),Dentist,"Croft Shifa Health Centre, Belfield Road, Rochdale",OL16 2UP,1616433703,http://www.langleydentalpractice.com,Rochdale,E0800005,-2.14084,53.622824
Hyde Dental Access Centre,Dentist,"46 Union Street, Hyde, Manchester",SK14 1NX,1613662420,NA,Tameside,E0800008,-2.075911,53.449973
Deeplish Dental Practice,Dentist,"1st Floor, Nye Bevan House, Maclure Road, Rochdale",OL11 1DN,1706261870,NA,Rochdale,E0800005,-2.154239,53.611617
Charlestown Dental Practice Limited,Dentist,"Charlestown Health Centre, Charlestown Road, Blackley, Manchester",M9 7ED,1617953065,NA,Manchester,E0800003,-2.186902,53.52264
M60 Dental Care,Dentist,"872 Hollins Road, Oldham",OL8 4SR,1616242167,http://www.M60dentalcare.co.uk,Oldham,E0800004,-2.138447,53.52018
Mydentist - Stevenson Square - Manchester,Dentist,"43-45 Lever Street, Manchester",M1 1FN,1612242532,http://www.mydentist.co.uk,Manchester,E0800003,-2.233154,53.483214
Links Associates Ashton Ltd,Dentist,"Dental Surgery, Pennymeadow, Ashton-under-Lyne",OL6 6HD,1613304124,NA,Tameside,E0800008,-2.089184,53.489361
Links Associates Salford Ltd,Dentist,"141 Leicester Road, Salford",M7 4HJ,1617207612,NA,Salford,E0800006,-2.250473,53.514101
Ashid Hussain and Asif Saleem,Dentist,"6-8 Market Place, Ramsbottom, Bury",BL0 9HT,1706488096,NA,Bury,E0800002,-2.317958,53.649008
372 Dental,Dentist,"372 Bury Road, Bolton",BL2 6DD,1204522581,http://www.372dental.co.uk,Bolton,E0800001,-2.402583,53.580433
Stockport Orthodontics,Dentist,"74 Macclesfield Road, Hazel Grove, Stockport",SK7 6DT,1625800333,http://www.stockportorthodontics.co.uk,Stockport,E0800007,-2.114114,53.366826
Ramsbottom Dental Surgery,Dentist,"72 Bridge Street, Ramsbottom, Bury",BL0 9AG,1706827755,http://www.ramsbottomdentalsurgery.co.uk,Bury,E0800002,-2.317878,53.648478
Tottington Dental Surgery,Dentist,"5 Back Chapel Street, Tottington, Bury",BL8 4AH,1204886881,NA,Bury,E0800002,-2.341179,53.615193
SimplyOne Dental,Dentist,"94 Henrietta Street, Ashton-under-Lyne",OL6 8NX,1613084129,NA,Tameside,E0800008,-2.092735,53.493807
Bennison Dental Practice,Dentist,"Dental Surgery, 401-405 Halliwell Road, Bolton",BL1 8DE,1204491946,http://www.andrewbennison.co.uk,Bolton,E0800001,-2.444339,53.594271
Smile Creator Dental Surgery,Dentist,"332-334 Norris Road, Sale",M33 2UG,1619699907,NA,Trafford,E0800009,-2.2994,53.414594
Brooklyn Court Dental Practice,Dentist,"390 Wilmslow Road, Withington, Manchester",M20 3NA,1614453647,NA,Manchester,E0800003,-2.224203,53.437041
Swan Dental Care,Dentist,"48 Higher Swan Lane, Bolton",BL3 3AT,1204657513,http://www.synergydental.org.uk,Bolton,E0800001,-2.441218,53.560145
530 Bolton Partnership,Dentist,"530 Chorley Old Road, Bolton",BL1 6AB,1204843196,NA,Bolton,E0800001,-2.461747,53.588938
"Bupa - Chorley Old Road, Bolton",Dentist,"530 Chorley Old Road, Bolton",BL1 6AB,1204843196,NA,Bolton,E0800001,-2.461747,53.588938
Bosden Farm Dental Practice,Dentist,"8 Fulmar Drive, Stockport",SK2 5JL,1614568716,http://www.bosdenfarmdentalpractice.co.uk,Stockport,E0800007,-2.109698,53.391036
Ethos Dental Care,Dentist,"126 Wellington Road North, Stockport",SK4 2LL,1614775142,http://www.ethosdental.co.uk,Stockport,E0800007,-2.16936,53.416629
One Dental,Dentist,"1 Milnrow Road, Rochdale",OL16 1UG,1706352319,NA,Rochdale,E0800005,-2.150936,53.613938
Mydentist - Heaton Moor Road - Stockport,Dentist,"162 Heaton Moor Road, Stockport",SK4 4HS,1614327400,http://www.idhdentiststockportheatonmoor.co.uk,Stockport,E0800007,-2.188975,53.419053
Ethos Dental Care Limited,Dentist,"126 Wellington Road North, Stockport",SK4 2LL,1614775142,http://www.ethosdental.co.uk,Stockport,E0800007,-2.16936,53.416629
Poppies Dental Care,Dentist,"24 Urmston Lane, Stretford, Manchester",M32 9BP,1618651633,NA,Trafford,E0800009,-2.315487,53.445617
Revive Dental Care - Ancoats,Dentist,"Old Mill Street, Manchester",M4 6EE,1617469029,http://www.revivedentalcare.co.uk,Manchester,E0800003,-2.219472,53.4829
Revive Dental Care - Ashton,Dentist,"193 Old Street, Ashton Under Lyne",OL6 7SR,1617891557,http://www.revivedentalcare.co.uk,Tameside,E0800008,-2.099981,53.485827
Revive Dental Care - Stockport,Dentist,"Kingsgate, Wellington Road North, Stockport",SK4 1LW,1614265684,NA,Stockport,E0800007,-2.165957,53.412533
Revive Dental Care - Manchester city centre,Dentist,"2 Bexley Square, Salford",M3 6BZ,1618345166,NA,Salford,E0800006,-2.258807,53.483621
Revive Dental Care - Circle OOH,Dentist,"10 Davyhulme Circle, Urmston, Manchester",M41 0SS,1617469029,http://www.revivedentalcare.co.uk,Trafford,E0800009,-2.356522,53.457445
Limes Dental Centre,Dentist,"2 Simpson Grove, Boothstown, Worsley, Manchester",M28 1LY,1617037773,http://www.limesdental.com,Salford,E0800006,-2.419883,53.503352
St Andrew's Dental Care,Dentist,"375 Ainsworth Road, Radcliffe, Manchester",M26 4HF,1617234274,NA,Bury,E0800002,-2.338975,53.574291
Freshdental,Dentist,"48 Wigan Road, Deane, Bolton",BL3 5PZ,120464028,http://www.freshdental.co.uk,Bolton,E0800001,-2.45326,53.570895
Walkden Dental Practice,Dentist,"10-12 Memorial Road, Walkden, Manchester",M28 3AQ,1617902314,http://www.walkdendentalpractice.co.uk,Salford,E0800006,-2.398022,53.522876
207 Dental Care,Dentist,"207 Deansgate, Manchester",M3 3NW,1618340606,http://www.207dentalcare.com,Manchester,E0800003,-2.249026,53.478751
Family Dental Practice,Dentist,"177a Princess Road, Moss Side, Manchester",M14 4RL,1612268432,NA,Manchester,E0800003,-2.244741,53.453818
Avalon Dental Care,Dentist,"283 Slade Lane, Levenshulme, Manchester",M19 2HR,1612244345,NA,Manchester,E0800003,-2.199921,53.43988
Poundswick Lane Dental Practice,Dentist,"18 Poundswick Lane, Wythenshawe, Manchester",M22 9TD,1614993141,NA,Manchester,E0800003,-2.260386,53.382146
Brownley Green Dental Practice,Dentist,"Brownley Green Health Centre, Benchill Court Road, Wythenshawe, Manchester",M22 4GA,1612092702,NA,Manchester,E0800003,-2.256686,53.391916
Bolton Road Dental Practice,Dentist,"265 Bolton Road, Radcliffe, Manchester",M26 3QP,1617247344,NA,Bury,E0800002,-2.343533,53.562632
Crescent Dental Care,Dentist,"2 Crescent Road, Hale, Altrincham",WA15 9NA,1619298111,http://www.crescentdentalcare-hale.co.uk,Trafford,E0800009,-2.343866,53.374573
Ash Villa Dental Practice,Dentist,"2 Harboro Way, Sale",M33 6QX,1619736890,http://www.ashvilladental.com,Trafford,E0800009,-2.3339,53.420586
Serenity Dental Spa,Dentist,"264 Barlow Moor Road, Chorlton, Manchester",M21 8HA,1618607e3,http://www.crystalcare.co.uk,Manchester,E0800003,-2.268652,53.43186
Mydentist - Borough Arcade - Hyde,Dentist,"1 Borough Arcade, Hyde",SK14 2AA,1204799799,http://www.mydentist.co.uk,Tameside,E0800008,-2.07995,53.451813
The Dental Care Centre,Dentist,"75 Market Street, Little Lever, Bolton",BL3 1HH,1204796795,http://www.gentlesmile.co.uk,Bolton,E0800001,-2.371957,53.562266
Monton Green Dental Practice,Dentist,"17 Monton Green, Eccles, Manchester",M30 9LE,1617888769,http://www.montongreendental.co.uk,Salford,E0800006,-2.354851,53.491822
Haughton Green Dental Practice,Dentist,"87 Haughton Green Road, Denton, Manchester",M34 7GR,1613206228,NA,Tameside,E0800008,-2.097754,53.441472
Cleggs Lane Dental Practice,Dentist,"34 Cleggs Lane, Little Hulton, Manchester",M38 9WT,1617906682,NA,Salford,E0800006,-2.422774,53.53179
Calm Dental Care,Dentist,"132c Flixton Road, Urmston, Manchester",M41 5BG,1617476841,http://www.calmdentalcare.co.uk,Trafford,E0800009,-2.362664,53.448267
Windsor Dental Practice,Dentist,"Belvedere Road, Salford",M6 5EQ,1617361397,http://www.windsordental.co.uk,Salford,E0800006,-2.279415,53.487107
Jeremy Cooper Dental Practice,Dentist,"11 Victoria Road, Salford",M6 8FZ,1617895917,http://www.drjeremycooperbdslondsalford.co.uk,Salford,E0800006,-2.326647,53.491149
Dr David End - Cheetham Street East Salford,Dentist,"263 Great Cheetham Street East, Salford",M7 4UF,1617921960,NA,Salford,E0800006,-2.254856,53.503162
The Dental Practice,Dentist,"569 Cheetham Hill Road, Manchester",M8 9JE,1617403e3,NA,Manchester,E0800003,-2.244998,53.51147
Church Lane Dental Practice,Dentist,"187 Church Lane, Harpurhey, Manchester",M9 4LY,1612051654,NA,Manchester,E0800003,-2.202169,53.507406
Mike Brown Dental,Dentist,"163 Drake Street, Rochdale",OL11 1EF,1706647746,NA,Rochdale,E0800005,-2.159499,53.61194
Littleborough Dental Practice,Dentist,"115 Featherstall Road, Littleborough",OL15 8JZ,1706376523,NA,Rochdale,E0800005,-2.106461,53.641858
Foxland Dental Surgery,Dentist,"42 Foxland Road, Gatley, Cheadle",SK8 4QB,1614910022,http://www.foxlanddental.co.uk,Stockport,E0800007,-2.230364,53.38779
Excel Dental Centre,Dentist,"1a Cheadle Road, Cheadle, Stockport",SK7 3DQ,1614281104,http://www.exceldental.co.uk,Stockport,E0800007,-2.164256,53.376808
Lotus Orthodontics,Dentist,"12a Market Street, Altrincham",WA14 1QB,NA,http://www.lotusorthodontics.com,Trafford,E0800009,-2.351254,53.388420000000004
Wood & Woolfstein Dental Practice,Dentist,"452 Barlow Moor Road, Chorlton, Manchester",M21 0BQ,1618812110,NA,Manchester,E0800003,-2.277668,53.443454
Circle Dental,Dentist,"16a The Circle, Barton Road, Stretford, Manchester",M32 9TR,1617482605,http://www.circledental.com,Trafford,E0800009,-2.336501,53.456569
Shevington Dental Practice,Dentist,"16 Gathurst Lane, Shevington, Wigan",WN6 8HA,1257252697,NA,Wigan,E08000010,-2.694238,53.571105
Mr Akeel Rahmatalla - Winton,Dentist,"1 Vaughan Street, Winton, Eccles, Manchester",M30 8DH,1617893808,NA,Salford,E0800006,-2.368096,53.49128
Green and Green Dental Surgery,Dentist,"100 Warrington Road, Newtown, Wigan",WN5 9AL,1942323939,NA,Wigan,E08000010,-2.652389,53.537445
Bolton Street Dental Practice,Dentist,"64 Bolton Street, Ramsbottom, Bury",BL0 9HX,1706825960,http://www.boltonstreetdental.co.uk,Bury,E0800002,-2.318941,53.647019
A R Dental,Dentist,"1 Albert Road, Cheadle Hulme, Cheadle",SK8 5DB,1614851193,NA,Stockport,E0800007,-2.193014,53.377358
Harpers Dental Practice,Dentist,"32 Bradford Street, The Haulgh, Bolton",BL2 1JJ,1204521140,http://www.harpersdentalpractice.org.uk,Bolton,E0800001,-2.417273,53.576751
Bromley Cross Dental Practice,Dentist,"227-229 Darwen Road, Bromley Cross, Bolton",BL7 9BS,1204308488,NA,Bolton,E0800001,-2.420162,53.615328
Ash Dental Practice,Dentist,"228-230 Liverpool Road, Eccles, Manchester",M30 0PF,1617890082,http://www.ashdental.co.uk,Salford,E0800006,-2.352501,53.482931
Kearsley Dental Care,Dentist,"25 Bolton Road, Kearsley, Bolton",BL4 8DB,1204573573,NA,Bolton,E0800001,-2.388475,53.544353
Haslam Park Dental Practice,Dentist,"208 Wigan Road, Bolton",BL3 5QE,1204654141,NA,Bolton,E0800001,-2.460819,53.568942
Bolton Orthodontic Centre,Dentist,"464 Manchester Road, Bolton",BL3 2NU,1204382242,NA,Bolton,E0800001,-2.413781,53.564054
406 Dental,Dentist,"406 Bury Old Road, Prestwich, Manchester",M25 1PZ,NA,http://www.406dental.com,Bury,E0800002,-2.269477,53.535937
Hind Dental Practice,Dentist,"1 Mesnes Park Terrace, Wigan",WN1 1SU,1942243339,NA,Wigan,E08000010,-2.633572,53.55049
Wood and Associates Dental Care Limited,Dentist,"673 Manchester Road, Denton, Manchester",M34 2NA,1613368036,NA,Tameside,E0800008,-2.149568,53.4574
Firwood Dental Practice,Dentist,"918 Middleton Road, Chadderton, Oldham",OL9 9SB,1616244297,http://www.firwooddental.co.uk,Oldham,E0800004,-2.160668,53.549157
Royton Health and Wellbeing Centre,Dentist,"Park Street, Royton, Oldham",OL2 6QW,1613624005,NA,Oldham,E0800004,-2.121594,53.566109
Elmfield Dental Practice,Dentist,"194 Stockport Road, Marple, Stockport",SK6 6DL,1614499740,NA,Stockport,E0800007,-2.072611,53.396107
Wallace Thomas Hobson & Emmett - Glebe Street,Dentist,"Dental Surgery, Glebe Street, Ashton Under Lyne",OL6 6HD,1613302351,NA,Tameside,E0800008,-2.089184,53.489361
Rosehill Dental Practice,Dentist,"301 Stockport Road, Marple, Stockport",SK6 6ES,1614272255,http://www.rosehilldentalpractice.co.uk,Stockport,E0800007,-2.082657,53.396164
Kinshuck Family Dentistry Limited,Dentist,"341 Ormskirk Road, Pemberton, Wigan",WN5 9DL,1942214605,http://www.famdentistry.co.uk,Wigan,E08000010,-2.663036,53.537108
East Road Care Limited,Dentist,"73 East Road, Longsight, Manchester",M12 5QY,1612245875,NA,Manchester,E0800003,-2.193587,53.453849
Lowton Dental Centre,Dentist,"7a Stone Cross Lane, Lowton, Warrington",WA3 2SA,1942722224,NA,Wigan,E08000010,-2.581607,53.474612
Hindley Dental Practice,Dentist,"1-3 Ladies Lane, Hindley, Wigan",WN2 2QA,1942255315,NA,Wigan,E08000010,-2.576461,53.538446
Pritchards Dental Practice Limited,Dentist,"20 Union Street, Oldham",OL1 1BE,1616787287,http://www.pritcharddental.co.uk,Oldham,E0800004,-2.114549,53.539593000000004
