ward,candidate,party,votes
Altrincham,BILLER Constantine Philip,Conservative,1386
Altrincham,COGGINS Geraldine Philomena,Green Party,1621
Altrincham,JERROME Dan,Green Party,1944
Altrincham,MARTIN David Harold,Liberal Democrats,93
Altrincham,NEWGROSH Julian David,Lberal Democrats,118
Altrincham,SAVARY Stephane,Labour,846
Altrincham,STONE Angela Kay,Conservative,1342
Altrincham,WINSTANLEY Barry Gerard,Labour,655
Ashton Upon Mersey,GRIME Kevin,UKIP,53
Ashton Upon Mersey,HARTLEY Ben,Labour,1568
Ashton Upon Mersey,LAMB John Terence,Conservative,1677
Ashton Upon Mersey,POWER Stephen Lee,Liberal Democrats,138
Ashton Upon Mersey, ROBERTSON-BROWN Caroline,Green Party ,148
Bowdon,BARCLAY Karen Myra,Conservative,2130
Bowdon,COOK Jim,UKIP,39
Bowdon,HASSAN Waseem,Labour,422
Bowdon,HENNERLEY Nigel Robert,Green Party,169
Bowdon,TOLHURST-CLEAVER Ludo,Liberal Democrats,356
Broadheath,BAYLEY-SANDERSON Mike,UKIP,56
Broadheath,BURKE Kate,Conservative,1716
Broadheath,FARNDON Stephen John,Independent,33
Broadheath,GRESTY Daniel,Green Party,160
Broadheath,MARRITT Christopher Paul,Liberal Democrats,170
Broadheath, WHYTE Amy Marie,Labour,2077
Brooklands,JEFFERSON Mike,Conservative,1755
Brooklands,KING Mandy,Green Party,155
Brooklands,LONGDEN Steven Gregory,Labour,1939
Brooklands,MINNIS Meenakshi,Liberal Democrats,170
Brooklands,NAYLER Tony,UKIP,55
Bucklow-St Martins,CAPUCHO PAULO Rodrigo,Green Party,44
Bucklow-St Martins,NAPIER Norine Dorothy,UKIP,90
Bucklow-St Martins,NEW Adele Louise,Labour,1427
Bucklow-St Martins,TURNER Geoffrey,Conservative,424
Bucklow-St Martins,WRIGHT Simon Andrew,Liberal Democrats,38
Clifford,CLIFF Pauline Anne,Liberal Democrats,82
Clifford,FINNEY Alex,Conservative,165
Clifford,MAYO Jess,Green Party,255
Clifford,TAYLOR Sophie Rachel,Labour,2702
Davyhulme East,CORNES Mike,Conservative,1388
Davyhulme East,DILLON Jayne Elizabeth,Labour,2205
Davyhulme East,REGAN Gary Anthony,UKIP,69
Davyhulme East,SUTHERLAND Susan,Liberal Democrats,73
Davyhulme East,TENNANT-SMYTHE Steven Roy,Green Party,100
Davyhulme West,KIERMAN David Joseph,Liberal Democrats,81
Davyhulme West,RAIKES Rob,Green Party,71
Davyhulme West,REGAN Paul,UKIP,96
Davyhulme West,TURNER Christine,Conservative,1403
Davyhulme West,WHITHAM Graham,Labour,2230
Flixton,BEAUMONT Andrew,UKIP,91
Flixton,MCLAUGHLIN Christine Bridget Theresa,Green Party,125
Flixton,SUTHERLAND Norman Ian,Liberal Democrats,84
Flixton,THOMAS Simon Garfield,Labour,2732
Flixton,WARD Viv,Conservative,1528
Gorse Hill,ACTON David,Labour,2039
Gorse Hill,CARBERRY-POWER Dawn Lee,Liberal Democrats,88
Gorse Hill,JOHN Lijo,Conservative,485
Gorse Hill,MARTIN Seamus,UKIP,66
Gorse Hill,RYAN Joe,Green Party,115
Hale Barns,AKINOLA Akila,Labour,477
Hale Barns,BOYSEN Maggie,Liberal Democrats ,258
Hale Barns,BUTT Dylan,Conservative ,1932
Hale Barns,LEFTWICH Deborah Jean,Green Party ,95
Hale Barns,TAYLOR Sandra,Independent ,132
Hale Central,AXFORD Jill Margaret,Labour ,809
Hale Central,FRASS Will ,Liberal Democrats ,364
Hale Central,HARRISON Wayne Joseph ,The Liberal Party ,49
Hale Central,LEICESTER Stephen Edward ,Green Party ,166
Hale Central,MITCHELL Alan Robert ,Conservatives ,1604
Longford,CONCHIE Cathy,Conservative ,547
Longford,FRYER Anna Corrina,Liberal Democrats ,194
Longford,JARMAN David Paul ,Labour,2611
Longford,ROYLE Pauline Brenda ,UKIP ,60
Longford,WESTBROOK Margaret Emily ,Green Party ,238
Priory,BARKER George Robson ,Conservative,988
Priory,BAUGH Jane Everall ,Labour ,2018
Priory,GREER Paul Christopher ,Green Party ,170
Priory,MACDONALD Michael ,Liberal Democrats ,170
Sale Moor,KIRK Czarina Dawn ,Liberal Democrats ,207
Sale Moor,LEICESTER Jane Frances ,Green Party ,161
Sale Moor,MEACHER Darren Christopher ,Conservative ,971
Sale Moor,PATEL Elizabeth Alice Louise ,Labour ,1433
St Mary's,BIRD Louise Claire,Liberal Democrats,167
St Mary's,CHILTON Rob,Conservative ,2053
St Mary's,CHOUDHURY Mal Mohibullah,Labour,1054
St Mary's,ROBERTSON-BROWN Nicholas Jonathan,Green Party,149
Stretford,LEPORI Simon Edward,Liberal Democrats,98
Stretford,O'NEILL Liz ,Green Party ,211
Stretford,ROYLE Ian ,UKIP ,92
Stretford,SLATER Jane Winifred ,Labour ,2231
Stretford,ZHI Shengke ,Conservative ,490
Timperley, EVANS Nathan Morris France,Conservative,1694
Timperley,GARLICK Julia Elizabeth ,Labour ,718
Timperley,JONES William ,Liberal Democrats ,1329
Timperley,LEIGH Jadwiga Teresa ,Green Party ,113
Timperley,TAYLOR Neil Anthony ,The Liberal Party ,342
Urmston,CULLEN Kirsty,Liberal Democrats ,130
Urmston,DOUGLAS Krissy ,UKIP ,138
Urmston,MCGRATH Michelle Ann ,Conservative ,1217
Urmston,PROCTER Kevin Alan ,Labour ,2243
Urmston,WOODWARD Timothy John ,Green Party ,155
Village,CAREY Thomas John Patrick ,Conservative ,1331
Village,FISHWICK Tony ,Liberal Democrats ,1003
Village,O'BRIEN Tony ,Labour ,742
Village,O'NEILL Angela Marie ,UKIP ,106
Village,WESTBROOK Matthew John ,Green Party ,73
