ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000819,Altrincham,2019,1,CARTER Ged,Labour Party,313,3898,20,8867,FALSE,na
E05000819,Altrincham,2019,1,MARTIN David Harold,Liberal Democrats,128,3898,20,8867,FALSE,na
E05000819,Altrincham,2019,1,STONE Angela Kay,Conservative Party,1057,3898,20,8867,FALSE,na
E05000819,Altrincham,2019,1,WELTON Michael John,Green Party,2377,TRUE,TRUE
E05000820,Ashton upon Mersey,2019,1,ELLIOT Martin,Liberal Democrats,247,3588,8,7500,FALSE,na
E05000820,Ashton upon Mersey,2019,1,HARTLEY Ben,Labour Party,1535,247,3588,8,7500,TRUE,TRUE
E05000820,Ashton upon Mersey,2019,1,JOHNSON Brian William,UK Independence Party,127,247,3588,8,7500,FALSE,na
E05000820,Ashton upon Mersey,2019,1,ROBERTSON-BROWN Caroline,Green Party,273,247,3588,8,7500,FALSE,na
E05000820,Ashton upon Mersey,2019,1,WHETTON Mike,1398,Conservative Party,247,3588,8,7500,FALSE,na
E05000821,Bowdon,2019,1,CHURCHILL Claire Helen,Conservative Party,1727,2929,31,7242,TRUE,FALSE
E05000821,Bowdon,2019,1,HAGUE Thomas,Labour Party,351,2929,31,7242,FALSE,na
E05000821,Bowdon,2019,1,LEFTWICH Deborah Jean,Green Party,411,2929,31,7242,FALSE,na
E05000821,Bowdon,2019,1,TOLHURST-CLEAVER Ludo,Liberal Democrats,411,2929,31,7242,FALSE,na
E05000822,Broadheath,2019,1,CARR Serena,Labour Party,1904,4048,17,9960,TRUE,TRUE
E05000822,Broadheath,2019,1,FARNDON Stephen John,Independent,87,4048,17,9960,FALSE,na
E05000822,Broadheath,2019,1,GRESTY Daniel Kenneth,Green Party,346,4048,17,9960,FALSE,na
E05000822,Broadheath,2019,1,MARRITT Christopher Paul,Liberal Democrats,219,4048,17,9960,FALSE,na
E05000822,Broadheath,2019,1,NAPIER Norine Dorothy,UKIP,255,4048,17,9960,FALSE,na
E05000822,Broadheath,2019,1,ZHI Shengke,Conservative Party,1219,4048,17,9960,FALSE,na
