PD_ID,Ward,Local electors 2027
1BDF,Bowdon,264
1BDE,Bowdon,380
1BDD,Bowdon,716
1BDC,Bowdon,2970
1BDA,Bowdon,1576
1BDB,Bowdon,1672
2BSB,Bucklow-St. Martins,1223
2BSC,Bucklow-St. Martins,1950
2BSD,Bucklow-St. Martins,1209
2BSE,Bucklow-St. Martins,1647
2BSA,Bucklow-St. Martins,852
2BSF,Bucklow-St. Martins,1573
2DWB,Davyhulme West,2394
2DWA,Davyhulme West,2148
2DWD,Davyhulme West,2332
2DWC,Davyhulme West,1107
2FLE,Flixton,2318
2FLD,Flixton,1390
2FLC,Flixton,1145
2FLB,Flixton,2641
2FLA,Flixton,1131
2DEB,Davyhulme East,2237
2DEC,Davyhulme East,1829
2DEA,Davyhulme East,4473
2URC,Urmston,2516
2URB,Urmston,2493
2URD,Urmston,1933
2URA,Urmston,1856
2STA,Stretford,2357
2STD,Stretford,1223
2STC,Stretford,2224
2STB,Stretford,2439
1AMA,Ashton upon Mersey,2669
1AMC,Ashton upon Mersey,1818
1SMC,St. Mary's,3182
1SMA,St. Mary's,3277
1SMB,St. Mary's,2606
1BHB,Broadheath,2619
1BHA,Broadheath,2068
1BHD,Broadheath,829
1BHC,Broadheath,1718
1BHE,Broadheath,1740
1BHF,Broadheath,1430
1ALB,Altrincham,1746
1ALC,Altrincham,1911
1ALA,Altrincham,772
1ALF,Altrincham,1654
1ALD,Altrincham,2418
1ALE,Altrincham,1334
1HCB,Hale Central,2072
1HCD,Hale Central,2022
1HCC,Hale Central,1774
1HCA,Hale Central,1837
1HBC,Hale Barns,1242
1HBB,Hale Barns,2518
1HBA,Hale Barns,3953
1TID,Timperley,1593
1TIB,Timperley,3130
1TIC,Timperley,1878
1TIA,Timperley,2037
1VIE,Village,826
1VIB,Village,2130
1VIC,Village,856
1VIA,Village,1296
1VID,Village,3199
3BLB,Brooklands,1394
3BLA,Brooklands,1445
3BLC,Brooklands,1268
3BLD,Brooklands,1904
3BLE,Brooklands,2056
3PRD,Priory,1821
3PRC,Priory,2795
3PRA,Priory,2407
3PRB,Priory,1868
3SAC,Sale Moor,1793
3SAB,Sale Moor,3069
3SAA,Sale Moor,3049
2LOD,Longford,2336
2LOA,Longford,2259
2LOB,Longford,5607
2LOC,Longford,1122
2CLC,Clifford,1925
2CLD,Clifford,4426
2CLB,Clifford,2761
2CLA,Clifford,425
2GHD,Gorse Hill,1649
2GHE,Gorse Hill,2232
2GHA,Gorse Hill,1591
2GHC,Gorse Hill,1892
2GHB,Gorse Hill,2072
1AMB,Ashton upon Mersey,3598
