name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,lon,lat
Brown Street Car Park,NA,Type 2 (Socket Only),22,NA,"Brown Street Car Park, Altrincham",WA14 2ET,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-05T04:01:00Z,-2.347697,53.379459999999995
Brown Street Car Park,NA,Type 2 (Socket Only),22,NA,"Brown Street Car Park, Altrincham",WA14 2ET,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-05T04:01:00Z,-2.347697,53.379459999999995
Regent Road Car Park,NA,Type 2 (Socket Only),7,NA,"Regent Road, Altrincham",WA14 1RY,BP Pulse (UK),https://www.bppulse.co.uk/,NA,2023-05-04T09:50:00Z,-2.3541040000000004,53.386784000000006
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Moorside Road, Manchester",M41 5SJ,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,-2.370709,53.45209100000001
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Moorside Road, Manchester",M41 5SJ,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,-2.370709,53.45209100000001
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Lacy Street, Manchester",M32 8LR,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,-2.3072640000000004,53.445225
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Lacy Street, Manchester",M32 8LR,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,-2.3072640000000004,53.445225
Trafford Town Hall,NA,Type 2 (Socket Only),7,NA,"Warwick Road, Stretford",M32 0RP,BP Pulse (UK),https://www.bppulse.co.uk/,NA,2023-05-04T08:52:00Z,-2.2875400000000004,53.458839
Trafford Retail Park,NA,Type 2 (Socket Only),22,NA,"Urmston, Manchester",M41 7FN,The GeniePoint Network ( EQUANS EV Solutions ),https://www.geniepoint.co.uk/,geniepointsupport@engie.com,2023-05-04T08:52:00Z,-2.359176,53.46170000000001
Tesco Extra-Stretford,4,Type 2 (Socket Only),7,"£0.44/kWh,£0.49/kWh,£0.62/kWh","Chester Road, Gorse Hill, Trafford",M32 0QW,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-17T05:21:00Z,-2.289581,53.459078
Tesco Extra-Stretford,4,Type 2 (Socket Only),22,"£0.44/kWh,£0.49/kWh,£0.62/kWh","Chester Road, Gorse Hill, Trafford",M32 0QW,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-17T05:21:00Z,-2.289581,53.459078
Tesco Extra-Stretford,4,CCS (Type 2),50,"£0.44/kWh,£0.49/kWh,£0.62/kWh","Chester Road, Gorse Hill, Trafford",M32 0QW,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-17T05:21:00Z,-2.289581,53.459078
Tesco Extra-Stretford,4,CHAdeMO,50,"£0.44/kWh,£0.49/kWh,£0.62/kWh","Chester Road, Gorse Hill, Trafford",M32 0QW,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-17T05:21:00Z,-2.289581,53.459078
Tesco Superstore-Sale,4,Type 2 (Socket Only),7,£0.44/kWh,"Hereford Street, Sale",M33 7XN,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-16T05:20:00Z,-2.324096,53.42447
Tesco Superstore-Sale,4,Type 2 (Socket Only),7,£0.44/kWh,"Hereford Street, Sale",M33 7XN,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-16T05:20:00Z,-2.324096,53.42447
MFG EV Power Chester Road,8,CHAdeMO,50,£0.79/kWh,"Chester Road, Stretford, Manchester",M32 8LF,MFG EV Power,https://www.motorfuelgroup.com/mfg-ev-power/,NA,2023-04-03T08:39:00Z,-2.30269728360531,53.449387749447496
