date,lsoa11cd,lsoa11nm,measure,value
2017-05-01,E01004768,Bolton 001A,total claimants,30
2017-05-01,E01004803,Bolton 001B,total claimants,25
2017-05-01,E01004804,Bolton 001C,total claimants,10
2017-05-01,E01004807,Bolton 001D,total claimants,20
2017-05-01,E01004808,Bolton 001E,total claimants,20
2017-05-01,E01004788,Bolton 002A,total claimants,20
2017-05-01,E01004810,Bolton 002E,total claimants,30
2017-05-01,E01004805,Bolton 002C,total claimants,30
2017-05-01,E01004806,Bolton 002D,total claimants,25
2017-05-01,E01004790,Bolton 002B,total claimants,35
2017-05-01,E01004769,Bolton 003A,total claimants,35
2017-05-01,E01004770,Bolton 003B,total claimants,25
2017-05-01,E01004771,Bolton 003C,total claimants,20
2017-05-01,E01004773,Bolton 003D,total claimants,45
2017-05-01,E01004809,Bolton 003E,total claimants,70
2017-05-01,E01004881,Bolton 004B,total claimants,95
2017-05-01,E01004888,Bolton 004C,total claimants,80
2017-05-01,E01004889,Bolton 004D,total claimants,75
2017-05-01,E01004890,Bolton 004E,total claimants,45
2017-05-01,E01004777,Bolton 004A,total claimants,95
2017-05-01,E01004774,Bolton 005D,total claimants,100
2017-05-01,E01004772,Bolton 005C,total claimants,120
2017-05-01,E01004766,Bolton 005A,total claimants,85
2017-05-01,E01004767,Bolton 005B,total claimants,60
2017-05-01,E01004824,Bolton 005E,total claimants,95
2017-05-01,E01004789,Bolton 006D,total claimants,25
2017-05-01,E01004791,Bolton 006E,total claimants,20
2017-05-01,E01004792,Bolton 006F,total claimants,20
2017-05-01,E01004784,Bolton 006A,total claimants,25
2017-05-01,E01004785,Bolton 006B,total claimants,55
2017-05-01,E01004786,Bolton 006C,total claimants,30
2017-05-01,E01004779,Bolton 007A,total claimants,70
2017-05-01,E01004781,Bolton 007B,total claimants,65
2017-05-01,E01004882,Bolton 007C,total claimants,35
2017-05-01,E01004883,Bolton 007D,total claimants,50
2017-05-01,E01004884,Bolton 007E,total claimants,20
2017-05-01,E01004921,Bolton 008C,total claimants,70
2017-05-01,E01004924,Bolton 008D,total claimants,20
2017-05-01,E01004925,Bolton 008E,total claimants,45
2017-05-01,E01004867,Bolton 008B,total claimants,80
2017-05-01,E01004864,Bolton 008A,total claimants,70
2017-05-01,E01004782,Bolton 009C,total claimants,40
2017-05-01,E01004783,Bolton 009D,total claimants,35
2017-05-01,E01004780,Bolton 009B,total claimants,40
2017-05-01,E01004778,Bolton 009A,total claimants,15
2017-05-01,E01004802,Bolton 010A,total claimants,145
2017-05-01,E01004926,Bolton 010B,total claimants,100
2017-05-01,E01004927,Bolton 010C,total claimants,195
2017-05-01,E01004929,Bolton 010D,total claimants,125
2017-05-01,E01004820,Bolton 011A,total claimants,145
2017-05-01,E01004825,Bolton 011B,total claimants,135
2017-05-01,E01004826,Bolton 011C,total claimants,120
2017-05-01,E01004865,Bolton 011D,total claimants,85
2017-05-01,E01004866,Bolton 011E,total claimants,175
2017-05-01,E01004840,Bolton 012A,total claimants,65
2017-05-01,E01004841,Bolton 012B,total claimants,160
2017-05-01,E01004842,Bolton 012C,total claimants,30
2017-05-01,E01004919,Bolton 012D,total claimants,35
2017-05-01,E01004920,Bolton 012E,total claimants,75
2017-05-01,E01004787,Bolton 013A,total claimants,195
2017-05-01,E01004793,Bolton 013B,total claimants,135
2017-05-01,E01004794,Bolton 013C,total claimants,150
2017-05-01,E01004795,Bolton 013D,total claimants,135
2017-05-01,E01004797,Bolton 013E,total claimants,80
2017-05-01,E01004775,Bolton 014A,total claimants,25
2017-05-01,E01004885,Bolton 014B,total claimants,15
2017-05-01,E01004886,Bolton 014C,total claimants,100
2017-05-01,E01004887,Bolton 014D,total claimants,100
2017-05-01,E01004922,Bolton 015E,total claimants,110
2017-05-01,E01004868,Bolton 015A,total claimants,80
2017-05-01,E01004869,Bolton 015B,total claimants,145
