name,type,address,postcode,area_name,lon,lat
3D Tastee Jerk,Takeaway/sandwich shop," 9 Moss Lane West, Old Trafford, Manchester",M15 5PQ,Trafford,-2.2574526,53.4591924
Aminah Tandoori,Takeaway/sandwich shop," 2 Peter Street, Altrincham",WA14 2DS,Trafford,-2.352011,53.38352
Amirah Balti,Takeaway/sandwich shop," 15 Station Road, Urmston, Manchester",M41 9JG,Trafford,-2.352646,53.44749
Barburrito,Takeaway/sandwich shop,"2 The Orient,  Trafford Park, Manchester",M17 8EH,Trafford,-2.34902,53.466187
Bei Jing,Takeaway/sandwich shop," 79 Great Stone Road, Stretford, Manchester",M32 8GR,Trafford,-2.286284,53.453015
Canadian Charcoal Pit,Takeaway/sandwich shop," 6 Church Street, Altrincham, Cheshire",WA14 4DW,Trafford,-2.349928,53.389809
Canadian Charcoal Pit,Takeaway/sandwich shop," 143 Barton Road, Stretford, Manchester",M32 8DN,Trafford,-2.314259,53.446446
Chinese Kitchen,Takeaway/sandwich shop," 12 Deansgate Lane, Timperley, Altrincham",WA15 6SB,Trafford,-2.34011101722717,53.3975868225098
Coral,Takeaway/sandwich shop," 212 Manchester Road, Altrincham, Cheshire",WA14 5LU,Trafford,-2.352097,53.401182
Costa's Fish & Chips,Takeaway/sandwich shop," 35 Hale Road, Altrincham",WA14 2EY,Trafford,-2.348885,53.381767
Cowtown Grill,Takeaway/sandwich shop," 85 Washway Road, Sale",M33 7TQ,Trafford,-2.3293180000000002,53.421588
Craven Road Fish & Chips,Takeaway/sandwich shop," 34A Craven Road, Broadheath Altrincham, Cheshire",WA14 5JD,Trafford,-2.359537,53.402382
Dixy Chicken,Takeaway/sandwich shop," 113 Washway Road, Sale",M33 7TY,Trafford,-2.32996106147766,53.421012878418
Domino's Pizza,Takeaway/sandwich shop," 30 Stamford New Road, Altrincham, Cheshire",WA14 1EJ,Trafford,-2.348407,53.387683
Domino's Pizza,Takeaway/sandwich shop," 446 Flixton Road, Flixton, Manchester",M41 6QT,Trafford,-2.38440299034119,53.4444885253906
Domino's Pizza,Takeaway/sandwich shop," 1a Sinderland Road, Altrincham",WA14 5EU,Trafford,-2.353749,53.400988
Domino's Pizza,Takeaway/sandwich shop," 25 Flixton Road, Urmston, Manchester",M41 5AW,Trafford,-2.355408,53.448263
Domino's Pizzas,Takeaway/sandwich shop," 45 Washway Road, Sale",M33 7AB,Trafford,-2.327301,53.42341
Dough Project,Takeaway/sandwich shop," 22 Northenden Road, Sale",M33 3BR,Trafford,-2.316966,53.423824
Eastern Revive Takeaway,Takeaway/sandwich shop," 188 Ashley Road, Hale, Altrincham",WA15 9SF,Trafford,-2.34608101844788,53.3770294189453
eCK,Takeaway/sandwich shop," 10 The Circle, Stretford, Manchester",M32 9TR,Trafford,-2.336501,53.456516
Ellie's Pizza,Takeaway/sandwich shop," 19 Tatton Road, Sale",M33 7EB,Trafford,-2.320334,53.425513
Emilios,Takeaway/sandwich shop," 197 Marsland Road, Sale",M33 3ND,Trafford,-2.320484,53.417334
Food on Third,Takeaway/sandwich shop,"378 Cooper House, Third Avenue, Trafford Park, Manchester",M17 1JE,Trafford,-2.310246,53.466034
Fortune House,Takeaway/sandwich shop," 348 Manchester Road, Altrincham",WA14 5NH,Trafford,-2.346576,53.4066
Four Seasons,Takeaway/sandwich shop," 400 Barton Road, Stretford, Manchester",M32 9RW,Trafford,-2.32587,53.454613
Gold Lion,Takeaway/sandwich shop," 4 North Parade, Sale, Cheshire",M33 3JS,Trafford,-2.308508,53.413339
Golden Apple,Takeaway/sandwich shop," 38 Davyhulme Road East, Stretford, Manchester",M32 0DW,Trafford,-2.303377,53.451131
Golden Bowl,Takeaway/sandwich shop," 11 Hope Road, Sale",M33 3AB,Trafford,-2.31922,53.423386
Golden Dragon,Takeaway/sandwich shop," 91 Manchester Road, Altrincham",WA14 4RJ,Trafford,-2.352436,53.396803
Golden Star,Takeaway/sandwich shop," 172 Cross Street, Sale, Cheshire",M33 7AQ,Trafford,-2.319901,53.429955
Greenhalgh's Craft Bakery Ltd,Takeaway/sandwich shop," 88 Stretford Mall, Stretford, Manchester",M32 9BD,Trafford,-2.310832,53.445215
Greenhalgh's Craft Bakery Ltd,Takeaway/sandwich shop," 12 The Mall, Sale",M33 7XZ,Trafford,-2.322374,53.424547
Greggs,Takeaway/sandwich shop," Unit 1B Longwood Road, Trafford Park, Manchester",M17 1PZ,Trafford,-2.32358407974243,53.4669609069824
i cook,Takeaway/sandwich shop," 12 Lloyd Street, Altrincham",WA14 2DE,Trafford,-2.351581,53.38424
Joans Chippy,Takeaway/sandwich shop," 36 Dargle Road, Sale, Cheshire",M33 7FW,Trafford,-2.318289,53.429735
KFC,Takeaway/sandwich shop," 9 The Orient, The Trafford Centre, Manchester",M17 9EF,Trafford,-2.32889,53.46778
Koo's Cantonese Takeaway,Takeaway/sandwich shop," 18 Eastway, Sale",M33 4DX,Trafford,-2.340248,53.410879
