name,activity,address,postcode,area_name,area_code,lon,lat
Genting Casinos UK Limited,Casino,"Genting Casino Bolton, Higher Bridge Street, Bolton",BL1 2HA,Bolton,E0800001,-2.428633,53.583066
Grosvenor Casinos Limited,Casino,"Bolton Grosvenor Casino, Moor Lane/Ormrod St, Bolton",BL3 5DJ,Bolton,E0800001,-2.4334,53.575272
Grosvenor Casinos Limited,Adult Gaming Centre,"Grosvenor Casino-AGC, Ormrod Street, Bolton",BL3 5DJ,Bolton,E0800001,-2.4334,53.575272
Megabet UK Limited,Betting Shop,"Stan James, 2 Slater Street, Bolton",BL4 9DS,Bolton,E0800001,-2.394573,53.547562
Megabet UK Limited,Betting Shop,"Stan James, 29/29A  Brackley Street, Farnworth, Bolton",BL4 9DS,Bolton,E0800001,-2.394573,53.547562
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 1 Derwent Road, Farnworth, Bolton",BL4 0QE,Bolton,E0800001,-2.429334,53.546409
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 1 Slater Street, Farnworth, Bolton",BL1 2HL,Bolton,E0800001,-2.430445,53.585954
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 12 Deansgate, Bolton",BL1 1BR,Bolton,E0800001,-2.427438,53.579924
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 124 Market Street, Farnworth, Bolton",BL4 9AE,Bolton,E0800001,-2.393479,53.548393
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 20 Blackhorse Street, Blackrod, Bolton",BL6 5EW,Bolton,E0800001,-2.587262,53.594922
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 25 Deansgate, Bolton",BL1 1HG,Bolton,E0800001,-2.428068,53.5795
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 26 Manchester Road, Bolton",BL4 8NZ,Bolton,E0800001,-2.37326,53.538642
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 29-31 Winter Hey Lane, Horwich, Bolton",BL6 7AD,Bolton,E0800001,-2.547054,53.599391
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 33-35 Newport Street, Bolton",BL1 1NE,Bolton,E0800001,-2.428875,53.577151
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 425-427 Wigan Road, Bolton",BL3 4QJ,Bolton,E0800001,-2.467131,53.566203
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 472-476 Halliwell Road, Bolton",BL1 8AN,Bolton,E0800001,-2.443978,53.594479
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 57 Market Street, Bolton",BL5 3AG,Bolton,E0800001,-2.522222,53.548736
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 86 St. Helens Road, Bolton",BL3 3NP,Bolton,E0800001,-2.448229,53.564937
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, Market St/Foundry Street, Little Lever, Bolton",BL3 1HH,Bolton,E0800001,-2.371957,53.562266
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, Unit 1, 192 Manchester Road, Kearsley, Bolton",BL4 8QR,Bolton,E0800001,-2.368796,53.537432
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, Unit 3,16-22 Oxford Street, Bolton",BL1 1RF,Bolton,E0800001,-2.429924,53.579259
Talarius Limited,Adult Gaming Centre,"Quicksilver, 57A-59 Newport Street, Bolton",BL1 1NE,Bolton,E0800001,-2.428875,53.577151
Summit Leisure (Market St) Limited,Adult Gaming Centre,"Shaws Amusements, 18-22 Market Street, Bolton",BL1 1BU,Bolton,E0800001,-2.42962,53.579081
Summit Leisure (Market St) Limited,Adult Gaming Centre,"Shaws Amusements, 76-78 Deansgate, Bolton",BL1 1BD,Bolton,E0800001,-2.431692,53.579574
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 13 Belmont Road, Bolton",BL1 7AF,Bolton,E0800001,-2.433279,53.601646
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 147-151 Tonge Moor Road, Bolton",BL2 2HR,Bolton,E0800001,-2.412729,53.589387
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 171-173 St. Helens Road, Bolton",BL3 3PS,Bolton,E0800001,-2.451334,53.563019
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 196 Deane Road, Bolton",BL3 5DP,Bolton,E0800001,-2.444008,53.573058
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 2 -4 Norris Street, Farnworth, Bolton",BL4 9HG,Bolton,E0800001,-2.398216,53.544935
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 223 Rishton Lane, Bolton",BL3 2BN,Bolton,E0800001,-2.428019,53.562824
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 224-226 Chorley Old Road, Bolton",BL1 3BW,Bolton,E0800001,-2.449811,53.586008
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 34 Newport Street, Bolton",BL1 1NB,Bolton,E0800001,-2.42972,53.577031
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 36 Lee Lane, Horwich, Bolton",BL6 7AE,Bolton,E0800001,-2.547067,53.600335
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 36-38 Higher Market Street, Farnworth, Bolton",BL4 9AJ,Bolton,E0800001,-2.392043,53.546519
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 45-47 Deansgate, Bolton",BL1 1HQ,Bolton,E0800001,-2.429773,53.579491
Luxury Leisure,Adult Gaming Centre,"Nobles Amusements, 30 Newport Street, Bolton",BL1 1NB,Bolton,E0800001,-2.42972,53.577031
Coral Racing Limited,Betting Shop,"Coral Racing Ltd, 290-292 Bury Road, Bolton",BL2 6AY,Bolton,E0800001,-2.406176,53.580331
Coral Racing Limited,Betting Shop,"Coral Racing Ltd, 322 Crompton Way, Bolton",BL2 2NE,Bolton,E0800001,-2.406998,53.591914
Coral Racing Limited,Betting Shop,"Coral Racing Ltd, 806 Bury Road, Bolton",BL2 6PA,Bolton,E0800001,-2.385653,53.580678
Mecca Bingo Limited,Bingo,"Mecca Bingo, Breightmet Fold Lane, Bolton",BL2 6PP,Bolton,E0800001,-2.382316,53.582459
Mecca Bingo Limited,Bingo,"Mecca Bingo, Moor Lane, Bolton",BL3 5DJ,Bolton,E0800001,-2.4334,53.575272
William Hill Organization Limited,Betting Shop,"William Hill, 10 Brackley Street, Bolton",BL4 9DR,Bolton,E0800001,-2.394469,53.547947
William Hill Organization Limited,Betting Shop,"William Hill, 22 Glynne Street, Farnworth, Bolton",BL4 7DY,Bolton,E0800001,-2.404155,53.550515
William Hill Organization Limited,Betting Shop,"William Hill, 22 Newport Street, Bolton",BL1 1NB,Bolton,E0800001,-2.42972,53.577031
William Hill Organization Limited,Betting Shop,"William Hill, 227/229 Halliwell Road, Bolton",BL1 3NT,Bolton,E0800001,-2.436881,53.591953
William Hill Organization Limited,Betting Shop,"William Hill, 256-258 Chorley Old Road, Bolton",BL1 4JE,Bolton,E0800001,-2.451222,53.586533
William Hill Organization Limited,Betting Shop,"William Hill, 279 Rishton Lane, Bolton",BL3 2EH,Bolton,E0800001,-2.428829,53.560657
William Hill Organization Limited,Betting Shop,"William Hill, 32 Market Street, Westhoughton, Bolton",BL5 3AN,Bolton,E0800001,-2.521108,53.548929
William Hill Organization Limited,Betting Shop,"William Hill, 5 Market Street, Little Lever, Bolton",BL3 1HH,Bolton,E0800001,-2.371957,53.562266
William Hill Organization Limited,Betting Shop,"William Hill, 87 Glynne Street, Farnworth, Bolton",BL4 7DH,Bolton,E0800001,-2.406921,53.549409
Tote (Successor Company) Limited,Betting Shop,"Totesport, 150 Blackburn Road, Bolton",BL1 8DR,Bolton,E0800001,-2.430573,53.591158
Cashino Gaming Limited,Bingo,"Cashino Gaming Limited, 47-49 Brackley Street, Farnworth, Bolton",BL4 9DS,Bolton,E0800001,-2.394573,53.547562
Bolton Wanderers Development Association (Chorley) Limited,Betting Shop,"Bolton Wanderers Development Association (Chorley) Limited, Bolton Wanderers Football Club, Macron Staduim, Burnden Way,Lostock, Bolton",BL6 6JW,Bolton,E0800001,-2.536279,53.580169
Rank Leisure Limited,Adult Gaming Centre,"Rank Leisure, Agc 1, Breightmet Fold Lane, Bolton",BL2 6PP,Bolton,E0800001,-2.382316,53.582459
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 11 Bridge Street, Ramsbottom, Bury",BL0 9AB,Bury,E0800002,-2.314923,53.648025
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 130 Water Street, Radcliffe, Manchester",M26 4BE,Bury,E0800002,-2.334585,53.563151
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 135 Bury New Road, Prestwich, Manchester",M25 9NX,Bury,E0800002,-2.276789,53.523625
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 168 Walmersley Road, Bury",BL9 6LL,Bury,E0800002,-2.290648,53.602437
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 203 Manchester Road, Bury",BL9 9HL,Bury,E0800002,-2.298369,53.582968
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 22 Longfield Centre, Prestwich, Manchester",M25 1AY,Bury,E0800002,-2.284273,53.532955
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 30 Haymarket Street, Bury",BL9 0AY,Bury,E0800002,-2.297905,53.592101
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 322 Tottington Road, Bury",BL8 1TA,Bury,E0800002,-2.321905,53.603175
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 35 Market Street, Bury",BL9 0BL,Bury,E0800002,-2.296606,53.592185
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 417 Bury Old Road, Prestwich, Manchester",M25 1PS,Bury,E0800002,-2.27138,53.536284
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 7 Elms Square, Whitefield, Manchester",M45 7TA,Bury,E0800002,-2.296255,53.553166
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 7 Silver Street, Bury",BL9 0EU,Bury,E0800002,-2.298137,53.593177
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 88 Rochdale Road, Bury",BL9 7AY,Bury,E0800002,-2.286667,53.592908
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, Unit 5 Radius Devt Longfield Centre, Prestwich, Manchester",M25 1AY,Bury,E0800002,-2.284273,53.532955
Done Brothers (Cash Betting) Limited,Betting Shop,"Unit 3 Apex Centre, Water Street, Radcliffe, Manchester",M26 4DF,Bury,E0800002,-2.331297,53.563922
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 35 Bolton Street, Ramsbottom, Bury",BL0 9HU,Bury,E0800002,-2.318537,53.647577
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 36 Stand Lane, Radcliffe, Manchester",M26 1LJ,Bury,E0800002,-2.323355,53.557859
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 48 Bury New Road, Prestwich, Manchester",M25 0JU,Bury,E0800002,-2.271845,53.519456
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 7 Albert Place, Whitefield, Manchester",M45 8NE,Bury,E0800002,-2.277091,53.551353
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, Unit 4, Ribble Drive, Whitefield, Manchester",M45 8AJ,Bury,E0800002,-2.27629,53.551497
Luxury Leisure,Adult Gaming Centre,"Nobles Amusements, 13 The Rock, Bury",BL9 0JP,Bury,E0800002,-2.295864,53.594057
