name,activity,address,postcode,area_name,area_code,ward_code,ward_name,msoa_code,msoa_hcl_name,lsoa_code,lsoa_name,la_code,la_name,lon,lat
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 349 Stockport Road, Timperley, Altrincham",WA15 7UG,Trafford,E0800009,E05015257,Timperley Central,E02001281,Timperley South,E01006192,Trafford 023C,E08000009,Trafford,-2.318906,53.397499
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 890 Chester Road, Stretford, Manchester",M32 0PA,Trafford,E0800009,E05015247,Gorse Hill & Cornbrook,E02001261,Gorse Hill,E01006187,Trafford 003C,E08000009,Trafford,-2.299421,53.453953
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 9/9A Lostock Road, Urmston, Manchester",M41 0SU,Trafford,E0800009,E05015251,Lostock & Barton,E02001260,Trafford Park West & Kingsway Park,E01006118,Trafford 002C,E08000009,Trafford,-2.35454,53.458028
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 100 George Street, Altrincham",WA14 1RF,Trafford,E0800009,E05015239,Altrincham,E02001283,"Altrincham West, Dunham & Warburton",E01006075,Trafford 025B,E08000009,Trafford,-2.351329,53.386577
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 58 Coppice Avenue, Sale",M33 4WB,Trafford,E0800009,E05015252,Manor,E02001274,Ashton upon Mersey South,E01006152,Trafford 016C,E08000009,Trafford,-2.348768,53.415269
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 41 School Road, Sale",M33 7YE,Trafford,E0800009,E05015254,Sale Central,E02001273,Sale Central,E01006160,Trafford 015B,E08000009,Trafford,-2.322663,53.424978
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 175 Chorlton Road, Manchester",M16 7WS,Trafford,E0800009,E05015253,Old Trafford,E02001259,Old Trafford,E01006109,Trafford 001A,E08000009,Trafford,-2.257935,53.45913
Done Brothers (Cash Betting) Limited,Betting Shop,"Betfred, 107 Ayres Road, Manchester",M16 7GS,Trafford,E0800009,E05015253,Old Trafford,E02001259,Old Trafford,E01006110,Trafford 001B,E08000009,Trafford,-2.267615,53.458434
Fraser Capital Management Limited,Bingo,"Club 3000 Bingo, 601 Chester Road, Manchester",M16 0QW,Trafford,E0800009,E05015247,Gorse Hill & Cornbrook,E02001259,Old Trafford,E01006188,Trafford 001F,E08000009,Trafford,-2.276587,53.46245
David Pluck (North West) Limited,Betting Shop,"David Pluck Racing, 141 Northenden Road, Sale",M33 3HF,Trafford,E0800009,E05015255,Sale Moor,E02001272,Sale East,E01006174,Trafford 014D,E08000009,Trafford,-2.304527,53.420287
David Pluck (North West) Limited,Betting Shop,"David Pluck Racing, 12 Northenden Road, Sale",M33 3BR,Trafford,E0800009,E05015254,Sale Central,E02001273,Sale Central,E01006161,Trafford 015C,E08000009,Trafford,-2.316951,53.423816
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 676 Chester Road, Stretford, Manchester",M32 0SF,Trafford,E0800009,E05015247,Gorse Hill & Cornbrook,E02001261,Gorse Hill,E01006186,Trafford 003B,E08000009,Trafford,-2.288614,53.461404
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 2A-4 Regent Road, Altrincham",WA14 1RE,Trafford,E0800009,E05015239,Altrincham,E02001283,"Altrincham West, Dunham & Warburton",E01006075,Trafford 025B,E08000009,Trafford,-2.351442,53.385669
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 8/10 Green Lane, Sale",M33 5PH,Trafford,E0800009,E05015240,Ashton upon Mersey,E02001271,Ashton upon Mersey North,E01006169,Trafford 013B,E08000009,Trafford,-2.341629,53.429338
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 5-7 Flixton Road, Urmston, Manchester",M41 5AW,Trafford,E0800009,E05015259,Urmston,E02001267,Urmston East,E01006201,Trafford 009D,E08000009,Trafford,-2.355677,53.448216
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 19a School Road, Sale",M33 7XX,Trafford,E0800009,E05015254,Sale Central,E02001273,Sale Central,E01006160,Trafford 015B,E08000009,Trafford,-2.321157,53.424784
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 87 Great Stone Road, Stretford, Manchester",M32 8GR,Trafford,E0800009,E05015250,Longford,E02001262,Firswood,E01006146,Trafford 004E,E08000009,Trafford,-2.286268,53.453007
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 408 Barton Road, Stretford, Manchester",M32 9RW,Trafford,E0800009,E05015251,Lostock & Barton,E02001264,Trafford Park East & Sevenways,E01006157,Trafford 006B,E08000009,Trafford,-2.325839,53.454577
Ladbrokes Betting & Gaming Limited,Betting Shop,"Ladbrokes, 9b Lostock Road, Urmston, Manchester",M41 0SU,Trafford,E0800009,E05015251,Lostock & Barton,E02001260,Trafford Park West & Kingsway Park,E01006118,Trafford 002C,E08000009,Trafford,-2.35454,53.458028
Bandai Namco Amusement Europe Limited,Adult Gaming Centre,"Namco Station, Unit 1, 13-17 The Orient, The Trafford Centre, Manchester",M17 8ED,Trafford,E0800009,E05015251,Lostock & Barton,E02001260,Trafford Park West & Kingsway Park,E01006121,Trafford 002E,E08000009,Trafford,-2.349005,53.466179
Talarius Limited,Adult Gaming Centre,"Quicksilver, 36 School Road, Sale",M33 7XF,Trafford,E0800009,E05015254,Sale Central,E02001273,Sale Central,E01006160,Trafford 015B,E08000009,Trafford,-2.320903,53.425054
Summit Leisure (Deansgate) Limited,NA,"Shaws Amusements, 103 Chester Road, Stretford",M32 9BA,Trafford,E0800009,E05015256,Stretford & Humphrey Park,E02001269,Stretford East,E01006180,Trafford 011D,E08000009,Trafford,-2.30942,53.445677
Summit Leisure (KC) Limited,Adult Gaming Centre,"Summit Leisure, 65/65A School Road, Sale",M33 7YF,Trafford,E0800009,E05015254,Sale Central,E02001273,Sale Central,E01006160,Trafford 015B,E08000009,Trafford,-2.323402,53.425145
William Hill Organization Limited,Betting Shop,"William Hill, 85 Manchester Road, Altrincham",WA14 4RJ,Trafford,E0800009,E05015239,Altrincham,E02001282,Altrincham East,E01006078,Trafford 024A,E08000009,Trafford,-2.352422,53.396795
William Hill Organization Limited,Betting Shop,"William Hill, 28 Moss Road, Stretford, Manchester",M32 0AH,Trafford,E0800009,E05015256,Stretford & Humphrey Park,E02001269,Stretford East,E01006181,Trafford 011E,E08000009,Trafford,-2.310018,53.451213
William Hill Organization Limited,Betting Shop,"William Hill, 256 Stockport Road, Timperley, Altrincham",WA15 7UT,Trafford,E0800009,E05015257,Timperley Central,E02001280,Timperley East,E01006204,Trafford 022A,E08000009,Trafford,-2.317462,53.397568
William Hill Organization Limited,Betting Shop,"William Hill, 147-151 Northenden Road, Sale",M33 2HS,Trafford,E0800009,E05015255,Sale Moor,E02001272,Sale East,E01006174,Trafford 014D,E08000009,Trafford,-2.30323,53.420031
