name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Lime Square Medical Centre,Doctors/GPs|Doctors/GPs,"Lime Square, Ashton Old Road, Manchester",M11 1DA,1613710678,NA,Manchester,E0800003,-2.164901,53.473649
ABL Health Limited,Doctors/GPs,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,1204570999,http://www.ablhealth.co.uk,Bolton,E0800001,-2.429374,53.550328
Nuffield Health Wellbeing Centre Manchester,Doctors/GPs,"East Pavilion, Harbour City, Salford",M50 3SP,1618738112,http://www.nuffieldhealth.com,Salford,E0800006,-2.290235,53.473779
Huntley Mount Medical Centre,Doctors/GPs|Doctors/GPs,"Huntley Mount Road, Bury",BL9 6JA,1617616677,http://www.huntleymountmc.com,Bury,E0800002,-2.27859,53.600201
Samedaydoctor Manchester Clinic,Doctors/GPs|Doctors/GPs,"28 Queen Street, Manchester",M2 5HX,1618277868,http://www.samedaydoctor.co.uk,Manchester,E0800003,-2.247283,53.479455
Manchester Orthopaedic Clinical Services,Doctors/GPs|Doctors/GPs,"19 Ellesmere Road, Eccles, Manchester",M30 9JY,1617070110,NA,Salford,E0800006,-2.340837,53.490371
Skin Medical Manchester,Doctors/GPs|Doctors/GPs,"20 St Ann's Square, Manchester",M2 7HG,1618397663,http://www.skinmedical.co.uk,Manchester,E0800003,-2.246198,53.48219
Doctorcall Manchester,Doctors/GPs|Doctors/GPs,"2-4 Exchange Street, St Ann's Square, Manchester",M2 7HA,8442579507,http://www.doctorcall.co.uk,Manchester,E0800003,-2.245632,53.48284
Rochdale Ophthalmology Clinical Assessment and Treatment Service,Doctors/GPs|Doctors/GPs,"The Croft Shifa, Belfield Road, Rochdale",OL16 2UP,8450774124,http://www.careuk.com,Rochdale,E0800005,-2.14084,53.622824
St Andrews House Medical Centre,Doctors/GPs|Doctors/GPs,"Stalybridge Resource Centre, 2 Waterloo Road, Stalybridge",SK15 2AU,1613383181,http://www.standrewshousemedicalcentre.co.uk,Tameside,E0800008,-2.059094,53.484668
Bupa Centre - Manchester,Doctors/GPs|Doctors/GPs|Phone/online advice,"111 Piccadilly, Manchester",M1 2HY,1612543300,http://www.bupa.co.uk,Manchester,E0800003,-2.23279,53.479522
Willowbank Surgery,Doctors/GPs|Doctors/GPs,"1 Church Lane, Harpurhey, Manchester",M9 4WH,1612059240,NA,Manchester,E0800003,-2.208318,53.50993
Emergency Department University Hospital South Manchester,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Wythenshawe Hospital, Southmoor Road, Wythenshawe, Manchester",M23 9LT,1619987070,NA,Manchester,E0800003,-2.293183,53.387922
BARDOC - Waters Meeting Health Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Navigation Park, Waters Meeting Road, Bolton",BL1 8TT,1617638940,http://www.bardoc.com,Bolton,E0800001,-2.42777,53.590359
MASTA Travel Clinic - Manchester,Doctors/GPs,"STA Manchester, Unit 6, Barton Arcade, 556 Deansgate, Manchester",M3 2BW,3301004131,http://www.masta-travel-health.com,Manchester,E0800003,-2.246861,53.482207
Seven Brooks Medical Centre,Doctors/GPs|Doctors/GPs,"21 Church Street, Atherton, Manchester",M46 9DE,1942483933,NA,Wigan,E08000010,-2.489022,53.524185
Laserase Bolton Limited,Doctors/GPs|Doctors/GPs,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,1204570900,http://www.laserase-bolton.co.uk,Bolton,E0800001,-2.429374,53.550328
Dickenson Road Medical Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"357-359 Dickenson Road, Longsight, Manchester",M13 0WQ,1612246522,NA,Manchester,E0800003,-2.200961,53.455985
Jarvis Medical Practice - GPCC,Doctors/GPs|Doctors/GPs,"137 Glodwick Road, Oldham",OL4 1YN,1616229220,NA,Oldham,E0800004,-2.095095,53.537786
The Dale Medical Practice,Doctors/GPs|Doctors/GPs,"2nd Floor Nye Bevan House, Maclure Road, Rochdale",OL11 1DN,1706261900,NA,Rochdale,E0800005,-2.154239,53.611617
Little Lever Health Centre,Doctors/GPs|Doctors/GPs,"Mytham Road, Little Lever, Bolton",BL3 1JF,1204462988,NA,Bolton,E0800001,-2.370624,53.559818
Nuffield Health Manchester Printworks Fitness and Wellbeing Centre,Doctors/GPs|Doctors/GPs,"The Printworks, 27 Withy Grove, Manchester",M4 2BS,1614646947,http://www.nuffieldhealth.com,Manchester,E0800003,-2.240778,53.485169
Ultima Vitality,Doctors/GPs|Doctors/GPs,"718A Wilmslow Road, Manchester",M20 2DW,1614347373,http://www.ultimavitality.co.uk,Manchester,E0800003,-2.231744,53.417567
Thornley House Medical Centre,Doctors/GPs|Doctors/GPs,"Thornley Street, Hyde",SK14 1JY,1613671791,NA,Tameside,E0800008,-2.076116,53.446746
Transform (Manchester),Clinic|Doctors/GPs|Doctors/GPs,"5th Floor, Colwyn Chambers, 19 York Street, Manchester",M2 3BA,1612287030,http://www.transforminglives.co.uk,Manchester,E0800003,-2.239954,53.480659
Beacon Medical Centre,Doctors/GPs|Doctors/GPs|Long-term conditions,"156 Victoria Avenue, Manchester",M9 0FN,1617402106,http://www.mysurgerywebsite.co.uk,Manchester,E0800003,-2.219211,53.534341
Royton Medical Centre,Doctors/GPs|Doctors/GPs|Long-term conditions,"15 Market Street, Royton, Oldham",OL2 5QA,1616526336,NA,Oldham,E0800004,-2.12386,53.565731
Dam Head Medical Centre,Doctors/GPs|Doctors/GPs|Long-term conditions,"1020 Rochdale Road, Manchester",M9 7HD,1617209744,NA,Manchester,E0800003,-2.21232,53.526139
THMG Manchester Clinic,Doctors/GPs,"The Chambers, Police Street, Manchester",M2 7LQ,2072919700,http://www.harleymedical.co.uk,Manchester,E0800003,-2.246709,53.481544
Hollinwood Medical Practice,Doctors/GPs|Doctors/GPs,"1 Clive Street, Oldham",OL8 3TR,1616277900,http://www.hollinwoodpractice.org.uk/,Oldham,E0800004,-2.128466,53.521996
Whiteson Hair Loss Consultancy Ltd,Doctors/GPs,"The Old Hall Clinic, 14 Old Hall Road, Gatley",SK8 4BE,7970859229,http://www.drwhitesonhairlossclinic.co.uk,Stockport,E0800007,-2.234427,53.393814
Lees Medical Practice,Doctors/GPs|Doctors/GPs,"Lees Medical Practice, Athens Way, Lees, Oldham",OL4 3BP,1616521285,NA,Oldham,E0800004,-2.074881,53.540281
Star Clinic,Doctors/GPs,"Milton Hall, 244 Deansgate, Manchester",M3 4BQ,8717054565,http://www.andreamarando.com,Manchester,E0800003,-2.250049,53.477977
Ascroft Medical,Doctors/GPs|Dentist|Doctors/GPs,"3 Ascroft Court, Peter Street, Oldham",OL1 1HP,NA,http://www.ascroftmedical.co.uk,Oldham,E0800004,-2.11304,53.540644
Oldham Health Services,Community services - Healthcare|Doctors/GPs|Doctors/GPs,"Oldham Intergrated Care Centre, New Radcliffe Street, Oldham",OL1 1NL,1616213400,NA,Oldham,E0800004,-2.116945,53.543824
Shevington Surgery,Doctors/GPs|Doctors/GPs,"Houghton   Lane, Shavington, Wigan",WN6 8ET,1942483777,http://www.shavington-surgery.co.uk/index.aspx,Wigan,E08000010,-2.69942,53.574041
Seven Brooks Medical Centre,Doctors/GPs|Doctors/GPs,"21 Church Street, Atherton, Wigan",M46 9DE,1942884026,http://www.sevenbrooksmedicalcentre.nhs.uk,Wigan,E08000010,-2.489022,53.524185
Pemberton Surgery,Doctors/GPs|Doctors/GPs,"Sherwood Drive, Wigan",WN5 9QX,8444779459,http://www.pembertonsurgery.co.uk,Wigan,E08000010,-2.669697,53.538479
NE Consultancy,Doctors/GPs|Doctors/GPs,"223-225 Stockport Road, Guide Bridge, Ashton Under Lyne",OL7 0NT,1613378086,NA,Tameside,E0800008,-2.112615,53.476432
Grasmere Surgery,Doctors/GPs|Doctors/GPs,"Leigh Health Centre, The Avenue, Leigh",WN7 1HR,1942483330,http://www.grasmere.surgery.co.uk,Wigan,E08000010,-2.511455,53.503236
Oaklands Hospital,Doctors/GPs|Doctors/GPs,"19 Lancaster Road, Salford",M6 8AQ,1617877700,http://www.pioneerhealthcare.co.uk,Salford,E0800006,-2.321064,53.492297
Bardoc - Fairfield General Hospital,Doctors/GPs|Doctors/GPs|Urgent care centres,"Rochdale Old Road, Bury",BL9 7TD,1617634242,http://www.bardoc.co.uk,Bury,E0800002,-2.25562,53.600439
The Jalal Practice,Doctors/GPs|Doctors/GPs,"Integrated Care Centre, New Radcliffe Street, Oldham",OL1 1NL,1616213443,NA,Oldham,E0800004,-2.116945,53.543824
Peel Hall Medical Practice,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Forum Square, Civic Centre, Wythenshawe",M22 5RX,1613751e3,NA,Manchester,E0800003,-2.265017,53.379925
Bryn Cross Surgery,Doctors/GPs|Doctors/GPs,"246 Wigan Road, Ashton In Makerfield, Wigan",WN4 0AR,1942727270,NA,Wigan,E08000010,-2.64744,53.500897
Barlow Medical Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"828 Wilmslow Road, Didsbury, Manchester",M20 2RN,NA,NA,Manchester,E0800003,-2.231434,53.413163
Ladybarn Group Practice,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"54 Briarfield Road, Withington, Manchester",M20 4SS,NA,NA,Manchester,E0800003,-2.213962,53.429923
Bury GP Federation - Extended Working Hours Fairfax Practice,Community services - Healthcare|Doctors/GPs|Doctors/GPs|Mobile doctors,"Fairfax Road, Prestwich, Manchester",M25 1BT,1617621672,http://www.burygpfederation.com,Bury,E0800002,-2.28357,53.533828
Bury GP Federation - Extended Working Hours Radcliffe Primary Care Centre,Community services - Healthcare|Doctors/GPs|Doctors/GPs|Mobile doctors,"69 Church Street West, Radcliffe, Manchester",M26 2SP,1617621672,http://www.burygpfederation.com,Bury,E0800002,-2.323706,53.560143
Bury GP Federation - Extended Working Hours Moorgate Primary care Centre,Community services - Healthcare|Doctors/GPs|Doctors/GPs|Mobile doctors,"22 Derby Way, Bury",BL9 0NJ,1617621672,http://www.burygpfederation.com,Bury,E0800002,-2.288591,53.59553
Northenden Group Practice,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Northenden Health Centre, 489 Palatine Road, Manchester",M22 4DH,1619983206,NA,Manchester,E0800003,-2.265032,53.406431
Chorlton Health Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Chorlton Health Centre, 1 Nicolas Road, Chorlton Cum Hardy, Manchester",M21 9NJ,1618814545,NA,Manchester,E0800003,-2.279717,53.443773
The Arch Medical Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"Hulme Medical Centre, 175 Royce Road, Manchester",M15 5TJ,1612260606,NA,Manchester,E0800003,-2.249612,53.46774
West Point Medical Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"167-169 Slade Lane, Manchester",M19 2AF,1612485100,NA,Manchester,E0800003,-2.197586,53.445978
Eccles Gateway,Doctors/GPs|Doctors/GPs,"Eccles Gateway, 28 Barton Lane, Eccles",M30 0TU,1612124231,NA,Salford,E0800006,-2.339314,53.48253
The Medical Centre,Doctors/GPs|Doctors/GPs,"The Etihad Campus, CFA - First Team Centre, 161 Clayton Lane, Manchester",M11 4TS,1614387106,http://www.mcfc.co.uk/the-club/etihad-campus-development,Manchester,E0800003,-2.186364,53.478993
DHI Manchester,Doctors/GPs|Doctors/GPs,"Suite 3C & 3D, Floor 3, Blackfriars House, Parsonage,, Manchester",M3 2JA,1618393769,NA,Manchester,E0800003,-2.247865,53.483375
International House,Doctors/GPs|Doctors/GPs|Mobile doctors|Phone/online advice|Urgent care centres,"Pepper Road, Hazel Grove, Stockport",SK7 5BW,1614760400,NA,Stockport,E0800007,-2.139563,53.378258
10 St John Street,Doctors/GPs|Doctors/GPs,"10 St John Street, Manchester",M3 4DY,2074862277,NA,Manchester,E0800003,-2.25092,53.477812
BL Medical Practice,Doctors/GPs|Doctors/GPs,"Woodley Health Centre, Hyde Road, Stockport",SK6 1ND,1614269464,http://www.benslanemedicalpractice.co.uk,Stockport,E0800007,-2.0996610000000002,53.426289
English Institute of Sport - Manchester,Doctors/GPs|Doctors/GPs|Rehabilitation (illness/injury),"EIS, 299 Alan Turing Way, Manchester",M11 3BS,NA,http://www.eis2win.co.uk,Manchester,E0800003,-2.191764,53.477301
Face & Eye,Doctors/GPs|Doctors/GPs,"2 Gibwood Road, Manchester",M22 4BT,1619472720,http://www.faceandeye.co.uk,Manchester,E0800003,-2.266591,53.405584
Ashton Medical Centre,Doctors/GPs|Doctors/GPs,"120 Wigan Road, Ashton In Makerfield, Wigan",WN4 9SU,1942727325,http://www.ssphealth.com,Wigan,E08000010,-2.642855,53.494792
Lower Ince Surgery,Doctors/GPs|Doctors/GPs,"Clare Houae, Phoenix Way, Ince, Wigan",WN3 4NW,1942481140,http://www.ssphealth.com,Wigan,E08000010,-2.614585,53.534922
Ince Surgery,Doctors/GPs|Doctors/GPs,"Ince Community Centre, Manchester Road, Ince, Wigan",WN2 2DJ,1942483150,http://www.ssphealth.com,Wigan,E08000010,-2.604008,53.543362
Braithwaite Road Surgery,Doctors/GPs|Doctors/GPs,"36 Braithwaite Road, Lowton, Warrington",WA3 2HY,1942718221,http://www.ssphealth.com,Wigan,E08000010,-2.574985,53.477412
Astley General Practice,Doctors/GPs|Doctors/GPs,"391A Manchester Road, Astley, Tyldesley, Manchester",M29 7BY,1942876339,http://www.ssphealth.com,Wigan,E08000010,-2.458266,53.500415
3D Medical Centre,Doctors/GPs|Doctors/GPs,"200-202 Deane Road, Bolton",BL3 5DP,1204463246,http://www.ssphealth.com,Bolton,E0800001,-2.444008,53.573058
Bolton General Practice,Doctors/GPs|Doctors/GPs,"Marsden House, Marsden Road, Bolton",BL1 2AY,1204521e3,http://www.ssphealth.com,Bolton,E0800001,-2.43424,53.578947
The Heights General Practice,Doctors/GPs|Doctors/GPs,"355 Bolton Road, Salford",M6 7NJ,1617365282,http://www.ssphealth.com,Salford,E0800006,-2.308735,53.500671
Bolton Medical Centre,Doctors/GPs|Doctors/GPs,"21 Rupert Street, Bolton",BL3 6PY,1204463900,http://www.ssphealth.com,Bolton,E0800001,-2.431399,53.56543
Nuffield Health Manchester Diagnostic Suite,Doctors/GPs,"City Labs, Nelson Street, Manchester",M13 9NQ,7557296378,NA,Manchester,E0800003,-2.228478,53.462228
Nye Bevan House,Community services - Healthcare|Doctors/GPs|Doctors/GPs,"Maclure Road, Rochdale",OL11 1DN,NA,NA,Rochdale,E0800005,-2.154239,53.611617
Townside Primary Care Centre,Community services - Healthcare|Doctors/GPs|Doctors/GPs,"3rd Floor, Knowsley Street, Bury",BL9 0SN,NA,NA,Bury,E0800002,-2.29898,53.59031
Beehive Surgery,Doctors/GPs|Doctors/GPs,"106-108 Crescent Road, Bolton",BL3 2JR,1204550100,http://www.beehivesurgery.com,Bolton,E0800001,-2.419172,53.564161
Urmston Group Practice,Doctors/GPs|Doctors/GPs,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,1617559870,http://www.urmstongrouppractice.co.uk,Trafford,E0800009,-2.394066,53.452491
HR Healthcare Ltd,Doctors/GPs|Phone/online advice,"The Office, Waters Meeting, Britannia Way, Bolton",BL2 2HH,1204559999,http://www.treated.com,Bolton,E0800001,-2.420907,53.593131
Fernclough Surgery,Doctors/GPs|Doctors/GPs,"Unit 1, Tavistock Square, Harpurhey, Machester",M9 5RD,NA,NA,Manchester,E0800003,-2.216154,53.50589
Diagnostic Healthcare Limited,Doctors/GPs|Diagnosis/screening|Diagnosis/screening|Doctors/GPs,"Mansion House, 3 Bridgewater Embankment, Altrincham",WA14 4RW,NA,NA,Trafford,E0800009,-2.353017,53.397872
Deane Medical Centre,Doctors/GPs|Doctors/GPs,"155-157 Deane Road, Bolton",BL3 5AH,7905046240,NA,Bolton,E0800001,-2.441983,53.572699
Heaton Medical Centre,Doctors/GPs|Doctors/GPs,"2 Lucy Street, Bolton",BL1 5PU,1204843677,NA,Bolton,E0800001,-2.46832,53.587976
Now GP,Doctors/GPs|Doctors/GPs|Phone/online advice,"1 Lowry Plaza, The Quays, Salford",M50 3UB,8083018067,http://www.drnow.com,Salford,E0800006,-2.294542,53.471305
Primrose Surgery,Doctors/GPs|Doctors/GPs,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,1617472424,http://www.primroseavenue.co.uk,Trafford,E0800009,-2.357311,53.456159
Cheetham Hill Medical Centre,Doctors/GPs|Doctors/GPs,"244 Cheetham Hill Road, Manchester",M8 8AU,7951725356,http://www.cheethamhillmedicalcentre.co.uk,Manchester,E0800003,-2.235847,53.500819
The Neville Family Medical Centre,Doctors/GPs|Doctors/GPs,"25 Old Market Street, Blackley, Manchester",M9 8DX,1617214865,http://www.nevillefmc.com,Manchester,E0800003,-2.220629,53.522771
Direct Medicare UK Limited,Doctors/GPs|Doctors/GPs,"Bodmin Road Health Centre, Bodmin Road, Sale",M33 5JH,16119624625,NA,Trafford,E0800009,-2.351718,53.428123
