Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Country,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude,Beneficiary Location:Longitude,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-traffordmbc-VSG1342,Voluntary Sector Grant to Altrincham Children's Choir,"Create and run community choirs involving children working in partnership with local schools, businesses, third sector groups etc. which will culminate in a series of performances",GBP,,2266,,2013-01-18,,,,12,360G-trafford-altrincham_childrens_choir,Altrincham Children's Choir,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1343,Voluntary Sector Grant to Be Active,"To organise and provide low cost, high quality modern coaching sessions for girls and boys in south area",GBP,,3028.63,,2013-01-18,,,,12,360G-trafford-be_active,Be Active,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1344,Voluntary Sector Grant to Broomwood Community Sports,"To expand football sessions from twice weekly to 4 times a week for young people in Broomwood, organised and managed by fathers",GBP,,495,,2013-01-18,,,,12,360G-trafford-broomwood_community_sports,Broomwood Community Sports,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1345,Voluntary Sector Grant to Cyril Flint Befrienders,Volunteers programme for befriending isolated elderly in the South Trafford area,GBP,,3056.37,,2013-01-18,,,,12,GB-COH-07962245,Cyril Flint Befrienders,1146179,07962245,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1346,Voluntary Sector Grant to Timperley Community Amateur Boxing Club,Free for families to take part in 3 weekly family sessions of boxing for 45 weeks of the year,GBP,,3150,,2013-01-18,,,,12,360G-trafford-timperley_community_amateur_boxing_club,Timperley Community Amateur Boxing Club,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1347,Voluntary Sector Grant to Timperley Sports Club,"Organise and host a sports tournaments including cricket, hockey and lacrosse for 11-16year olds.",GBP,,1800,,2013-01-18,,,,12,GB-COH-10086410,Timperley Sports Club,,10086410,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1348,Voluntary Sector Grant to Watling Gate Restoration Group,"Provide two family fun days and hold regular volunteer sessions to collate the local history of the house, area and peoples lives.",GBP,,4000,,2013-01-18,,,,12,360G-trafford-watling_gate_restoration_group,Watling Gate Restoration Group,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1349,Voluntary Sector Grant to G-Force,To deliver a series of cultural workshops and culminate in a number of Cultural events celebrate the new cultures and countries in Broomwood and the diversity of the wider community,GBP,,2884,,2013-01-18,,,,12,GB-CHC-1110767,G-Force,1110767,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1311,Voluntary Sector Grant to Art with a Heart,"To deliver selection of community exhibitions such as the Trafford Schools Open, Working in Wood, and Heritage of the Altrincham Area open to the general public for free from Thursday through to Sunday.",GBP,,4540,,2013-06-22,,,,12,GB-CHC-1159034,Art with a Heart,1159034,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1312,Voluntary Sector Grant to Bowdon Church DoE Project,"To ensure project is accessible to children from a wider socio economic group whose parents may not be able to afford the personal equipment (walking boots, rucksacks, waterproof clothing etc.).",GBP,,2000,,2013-06-22,,,,12,360G-trafford-bowdon_church_doe_project,Bowdon Church DoE Project,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
