name,website,area_code,area_name,lon,lat
Alexandra Park (Manchester),http://www.greenflagaward.org.uk/park-summary/?park=2389,E08000003,Manchester,-2.248757,53.451398
Alexandra Park (Wigan),http://www.greenflagaward.org.uk/park-summary/?park=569,E08000010,Wigan,-2.654797,53.535687
Barlow Hall,http://www.greenflagaward.org.uk/park-summary/?park=2923,E08000003,Manchester,-2.267624,53.428728
Blackleach Country Park,http://www.greenflagaward.org.uk/park-summary/?park=526,E08000006,Salford,-2.398,53.53
Blackley Cemetery & Crematorium,http://www.greenflagaward.org.uk/park-summary/?park=1717,E08000003,Manchester,-2.234182,53.529702
Bolton Road Park,http://www.greenflagaward.org.uk/park-summary/?park=518,E08000002,Bury,-2.343955,53.563459
Boothsbank Park,http://www.greenflagaward.org.uk/park-summary/?park=3123,E08000006,Salford,-2.411407,53.50153
Burrs Country Park,http://www.greenflagaward.org.uk/park-summary/?park=493,E08000002,Bury,-2.304,53.609
Clarence Park,http://www.greenflagaward.org.uk/park-summary/?park=452,E08000002,Bury,-2.29,53.604
Clifton Country Park,http://www.greenflagaward.org.uk/park-summary/?park=451,E08000006,Salford,-2.346,53.532
Close Park,http://www.greenflagaward.org.uk/park-summary/?park=447,E08000002,Bury,-2.307,53.565
Denehurst Park,http://www.greenflagaward.org.uk/park-summary/?park=3307,E08000005,Rochdale,-2.183074,53.621014
Denzell Gardens and The Devisdale,http://www.greenflagaward.org.uk/park-summary/?park=414,E08000009,Trafford,-2.371,53.382
Flixton Gardens,http://www.greenflagaward.org.uk/park-summary/?park=1300,E08000009,Trafford,-2.383446,53.445963
Gorton Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=896,E08000003,Manchester,-2.163,53.456
Hare Hill Park,http://www.greenflagaward.org.uk/park-summary/?park=322,E08000005,Rochdale,-2.098,53.645
"Hopwood Park, Heywood",http://www.greenflagaward.org.uk/park-summary/?park=3139,E08000005,Rochdale,-2.210395,53.581978
Hoyles Park,http://www.greenflagaward.org.uk/park-summary/?park=1180,E08000002,Bury,-2.277689,53.598401
Hullard Park,http://www.greenflagaward.org.uk/park-summary/?park=280,E08000009,Trafford,-2.268,53.461
John Leigh Park (Altrincham),http://www.greenflagaward.org.uk/park-summary/?park=2824,E08000009,Trafford,-2.356046,53.390734
Jubilee Park,http://www.greenflagaward.org.uk/park-summary/?park=1085,E08000010,Wigan,-2.64,53.491
"Jubilee Park, Middleton",http://www.greenflagaward.org.uk/park-summary/?park=3140,E08000005,Rochdale,-2.196349,53.552897
Lostock Park,http://www.greenflagaward.org.uk/park-summary/?park=3104,E08000009,Trafford,-2.330704,53.45664
Manchester Road Park,http://www.greenflagaward.org.uk/park-summary/?park=223,E08000002,Bury,-2.296983,53.586503
Mesnes Park,http://www.greenflagaward.org.uk/park-summary/?park=2385,E08000010,Wigan,-2.636864,53.552611
Middleton Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1356,E08000005,Rochdale,-2.178,53.558
Middleton Memorial Gardens,http://www.greenflagaward.org.uk/park-summary/?park=3308,E08000005,Rochdale,-2.208214,53.54657
Milnrow Memorial Park,http://www.greenflagaward.org.uk/park-summary/?park=195,E08000005,Rochdale,-2.103,53.602
Nuttall Park,http://www.greenflagaward.org.uk/park-summary/?park=172,E08000002,Bury,-2.312073,53.642186
Openshaw Park,http://www.greenflagaward.org.uk/park-summary/?park=160,E08000002,Bury,-2.279,53.591
Peak Forest Canal,http://www.greenflagaward.org.uk/park-summary/?park=2816,E08000007,Stockport,-2.060261,53.393256
Peel Green Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1177,E08000006,Salford,-2.377,53.475
Peel Park (Salford),http://www.greenflagaward.org.uk/park-summary/?park=3124,E08000006,Salford,-2.27108,53.488403
Pennington Hall Park,http://www.greenflagaward.org.uk/park-summary/?park=1109,E08000010,Wigan,-2.524,53.487
Philips Park Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1178,E08000003,Manchester,-2.194,53.49
Queen’s Park Heywood,http://www.greenflagaward.org.uk/park-summary/?park=109,E08000005,Rochdale,-2.215,53.6
Queens Park (Bolton),http://www.greenflagaward.org.uk/park-summary/?park=2900,E08000001,Bolton,-2.444872,53.577461
Rochdale Town Centre Parks,http://www.greenflagaward.org.uk/park-summary/?park=91,E08000005,Rochdale,-2.159,53.616
Southern Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1562,E08000003,Manchester,-2.258,53.429
St Mary’s Park,http://www.greenflagaward.org.uk/park-summary/?park=20,E08000002,Bury,-2.27873,53.528071
Stamford Park,http://www.greenflagaward.org.uk/park-summary/?park=2392,E08000008,Tameside,-2.067493,53.491276
Town Meadow Park,http://www.greenflagaward.org.uk/park-summary/?park=632,E08000002,Bury,-2.338957,53.613331
Truffet Park,http://www.greenflagaward.org.uk/park-summary/?park=915,E08000005,Rochdale,-2.220927,53.552469
Victoria Park (Salford),http://www.greenflagaward.org.uk/park-summary/?park=659,E08000006,Salford,-2.327,53.508
Victoria Park (Trafford),http://www.greenflagaward.org.uk/park-summary/?park=666,E08000009,Trafford,-2.311768,53.448678
Walkden Gardens,http://www.greenflagaward.org.uk/park-summary/?park=670,E08000009,Trafford,-2.311,53.418
Walton Park (Sale),http://www.greenflagaward.org.uk/park-summary/?park=2822,E08000009,Trafford,-2.332633,53.41438
Whitefield Park,http://www.greenflagaward.org.uk/park-summary/?park=694,E08000002,Bury,-2.293,53.551
Whitehead Park,http://www.greenflagaward.org.uk/park-summary/?park=695,E08000002,Bury,-2.3163,53.594146
Winton Park,http://www.greenflagaward.org.uk/park-summary/?park=1653,E08000006,Salford,-2.368,53.487
Woodheys Park (Broadheath),http://www.greenflagaward.org.uk/park-summary/?park=2823,E08000009,Trafford,-2.353887,53.409608
Worthington Park,http://www.greenflagaward.org.uk/park-summary/?park=711,E08000009,Trafford,-2.312,53.423
