lsoa11cd,measure,value,index_domain
E01006328,Score,0.235,Income
E01006376,Score,0.23,Income
E01006396,Score,0.078,Income
E01006400,Score,0.05,Income
E01006366,Score,0.118,Income
E01006329,Score,0.196,Income
E01006350,Score,0.415,Income
E01032917,Score,0.124,Income
E01006178,Score,0.056,Income
E01006209,Score,0.049,Income
E01006172,Score,0.07,Income
E01006197,Score,0.074,Income
E01006192,Score,0.055,Income
E01006208,Score,0.154,Income
E01006198,Score,0.109,Income
E01006318,Score,0.07,Income
E01006327,Score,0.4,Income
E01006291,Score,0.178,Income
E01006292,Score,0.109,Income
E01006177,Score,0.261,Income
E01006313,Score,0.231,Income
E01006317,Score,0.118,Income
E01006289,Score,0.31,Income
E01005502,Score,0.217,Income
E01005497,Score,0.37,Income
E01005506,Score,0.178,Income
E01005511,Score,0.13,Income
E01005503,Score,0.045,Income
E01005505,Score,0.192,Income
E01005496,Score,0.343,Income
E01005588,Score,0.202,Income
E01005527,Score,0.394,Income
E01005570,Score,0.061,Income
E01005598,Score,0.059,Income
E01005602,Score,0.326,Income
E01005529,Score,0.333,Income
E01005536,Score,0.206,Income
E01005520,Score,0.139,Income
E01005535,Score,0.2,Income
E01005579,Score,0.41,Income
E01005514,Score,0.241,Income
E01005532,Score,0.336,Income
E01005533,Score,0.141,Income
E01005968,Score,0.068,Income
E01005911,Score,0.07,Income
E01005929,Score,0.036,Income
E01005899,Score,0.122,Income
E01006038,Score,0.11,Income
E01006067,Score,0.046,Income
E01005844,Score,0.101,Income
E01005960,Score,0.256,Income
E01005963,Score,0.09,Income
E01005875,Score,0.074,Income
E01005962,Score,0.091,Income
E01006300,Score,0.057,Income
E01006308,Score,0.27,Income
E01006306,Score,0.311,Income
E01032922,Score,0.081,Income
E01006397,Score,0.236,Income
E01032912,Score,0.347,Income
E01006028,Score,0.292,Income
E01006033,Score,0.253,Income
E01005851,Score,0.086,Income
E01005886,Score,0.212,Income
E01005881,Score,0.026,Income
E01006035,Score,0.181,Income
E01005975,Score,0.216,Income
E01006051,Score,0.112,Income
E01006070,Score,0.08,Income
E01005992,Score,0.199,Income
E01005894,Score,0.126,Income
E01005880,Score,0.059,Income
E01005991,Score,0.122,Income
E01006403,Score,0.074,Income
E01005764,Score,0.188,Income
E01005759,Score,0.14,Income
E01005714,Score,0.239,Income
E01005780,Score,0.073,Income
E01005775,Score,0.076,Income
E01006401,Score,0.049,Income
E01006346,Score,0.136,Income
E01006385,Score,0.037,Income
E01006353,Score,0.14,Income
E01033658,Score,0.039,Income
E01033665,Score,0.131,Income
E01033661,Score,0.097,Income
E01033663,Score,0.089,Income
E01033685,Score,0.132,Income
E01033681,Score,0.013,Income
E01033683,Score,0.01,Income
E01005830,Score,0.131,Income
E01005853,Score,0.216,Income
E01005927,Score,0.044,Income
E01005850,Score,0.155,Income
E01005838,Score,0.127,Income
E01005857,Score,0.132,Income
E01005928,Score,0.16,Income
E01005883,Score,0.026,Income
E01005895,Score,0.169,Income
E01005805,Score,0.032,Income
E01005811,Score,0.047,Income
E01005816,Score,0.161,Income
E01005804,Score,0.156,Income
E01005839,Score,0.035,Income
E01005603,Score,0.205,Income
E01005807,Score,0.032,Income
E01005727,Score,0.207,Income
E01005617,Score,0.103,Income
E01005786,Score,0.045,Income
E01005794,Score,0.037,Income
E01005616,Score,0.214,Income
E01005657,Score,0.317,Income
E01005682,Score,0.515,Income
E01005673,Score,0.157,Income
E01005690,Score,0.137,Income
E01005809,Score,0.05,Income
E01005813,Score,0.046,Income
E01006001,Score,0.157,Income
E01005656,Score,0.262,Income
E01005691,Score,0.091,Income
E01005812,Score,0.025,Income
E01005837,Score,0.082,Income
E01005734,Score,0.155,Income
E01005998,Score,0.185,Income
E01005990,Score,0.114,Income
E01006025,Score,0.362,Income
E01005629,Score,0.138,Income
E01005632,Score,0.183,Income
E01006019,Score,0.315,Income
E01032558,Score,0.384,Income
E01032909,Score,0.019,Income
