lsoa11cd,index_domain,decile,rank,score
E01004766,Barriers to Housing and Services,7,21341,16.345
E01004766,Crime,2,5587,0.769
E01004766,"Education, Skills and Training",4,10008,26.76
E01004766,Employment,4,10676,0.135
E01004766,Health Deprivation and Disability,2,5259,0.893
E01004766,Income Deprivation Affecting Children Index (IDACI),6,18694,0.123
E01004766,Income Deprivation Affecting Older People Index (IDAOPI),3,6697,0.283
E01004766,Income,4,10553,0.171
E01004766,Index of Multiple Deprivation,3,8241,29.998
E01004766,Living Environment,1,2887,47.008
E01004767,Barriers to Housing and Services,7,19817,17.588
E01004767,Crime,2,5347,0.79
E01004767,"Education, Skills and Training",6,17360,15.133
E01004767,Employment,5,14734,0.106
E01004767,Health Deprivation and Disability,4,9955,0.452
E01004767,Income Deprivation Affecting Children Index (IDACI),5,14836,0.167
E01004767,Income Deprivation Affecting Older People Index (IDAOPI),4,13049,0.186
E01004767,Income,5,14580,0.129
E01004767,Index of Multiple Deprivation,5,13147,21.42
E01004767,Living Environment,3,8287,30.832
E01004768,Barriers to Housing and Services,4,12954,23.205
E01004768,Crime,7,21247,-0.313
E01004768,"Education, Skills and Training",9,29439,3.296
E01004768,Employment,9,28282,0.048
E01004768,Health Deprivation and Disability,7,20030,-0.261
E01004768,Income Deprivation Affecting Children Index (IDACI),10,31883,0.025
E01004768,Income Deprivation Affecting Older People Index (IDAOPI),9,29201,0.061
E01004768,Income,10,31191,0.033
E01004768,Index of Multiple Deprivation,9,29371,5.837
E01004768,Living Environment,10,31331,2.959
E01004769,Barriers to Housing and Services,7,21164,16.483
E01004769,Crime,5,14956,0.103
E01004769,"Education, Skills and Training",9,28193,4.299
E01004769,Employment,8,23122,0.067
E01004769,Health Deprivation and Disability,5,15538,0.04
E01004769,Income Deprivation Affecting Children Index (IDACI),10,30395,0.037
E01004769,Income Deprivation Affecting Older People Index (IDAOPI),9,28651,0.065
E01004769,Income,9,28812,0.046
E01004769,Index of Multiple Deprivation,8,25890,8.667
E01004769,Living Environment,7,21547,11.865
E01004770,Barriers to Housing and Services,10,30842,7.467
E01004770,Crime,8,23573,-0.477
E01004770,"Education, Skills and Training",7,20680,11.289
E01004770,Employment,8,23071,0.068
E01004770,Health Deprivation and Disability,7,19932,-0.254
E01004770,Income Deprivation Affecting Children Index (IDACI),9,29405,0.044
E01004770,Income Deprivation Affecting Older People Index (IDAOPI),8,24058,0.091
E01004770,Income,8,25420,0.061
E01004770,Index of Multiple Deprivation,9,26504,8.189
E01004770,Living Environment,6,17578,16.108
E01004771,Barriers to Housing and Services,10,32368,4.161
E01004771,Crime,5,15064,0.096
E01004771,"Education, Skills and Training",9,28936,3.705
E01004771,Employment,9,26993,0.053
E01004771,Health Deprivation and Disability,7,21799,-0.391
E01004771,Income Deprivation Affecting Children Index (IDACI),10,31551,0.028
E01004771,Income Deprivation Affecting Older People Index (IDAOPI),10,32259,0.033
E01004771,Income,10,31589,0.03
E01004771,Index of Multiple Deprivation,10,29855,5.415
E01004771,Living Environment,7,21329,12.085
E01004772,Barriers to Housing and Services,3,6888,29.851
E01004772,Crime,6,17713,-0.076
E01004772,"Education, Skills and Training",3,8966,29.049
E01004772,Employment,2,6137,0.183
