area_code,area_name,median_price,min_price,max_price,transactions
E01005482,Rochdale 010C,46000,34000,170000,15
E01005484,Rochdale 010E,48250,45000,75000,4
E01005448,Oldham 012A,49250,35692,137000,10
E01005430,Oldham 022E,52500,32000,105000,14
E01005564,Rochdale 015E,52500,47500,140000,10
E01032921,Oldham 035G,55000,36000,176000,16
E01006334,Wigan 030C,56500,32000,135000,38
E01005350,Oldham 014B,57000,45000,67000,3
E01005434,Oldham 024B,58000,30000,90000,21
E01005427,Oldham 022C,60000,58000,116500,5
E01005450,Oldham 019C,60000,35000,95500,21
E01005568,Rochdale 012E,60000,47500,99000,5
E01004846,Bolton 025A,61000,40000,104950,11
E01004869,Bolton 015B,61000,42000,80000,24
E01005322,Oldham 029A,61500,39000,85000,9
E01006328,Wigan 030A,62000,44000,111950,19
E01005470,Rochdale 015A,62500,40000,111000,7
E01006215,Wigan 024B,63000,50000,141000,15
E01004811,Bolton 022A,63500,33500,82500,14
E01004848,Bolton 016D,64250,52500,80000,4
E01004820,Bolton 011A,64500,38000,90000,8
E01004926,Bolton 010B,65000,52000,115000,7
E01005349,Oldham 016A,65000,60000,89000,3
E01005581,Rochdale 008B,65000,39950,140000,8
E01004829,Bolton 023B,65375,50000,199995,16
E01004849,Bolton 021B,65500,39000,106000,8
E01005249,Manchester 005C,65500,65500,268000,72
E01033258,Rochdale 008G,65500,45000,125000,20
E01005483,Rochdale 010D,65750,39995,92500,6
E01004817,Bolton 022E,66000,38000,145000,34
E01004826,Bolton 011C,66000,54000,100000,15
E01005433,Oldham 014D,66000,30000,108000,12
E01005586,Rochdale 004C,66000,35000,204000,16
E01005583,Rochdale 008D,66250,47000,90000,4
E01004853,Bolton 021E,66500,55000,75000,7
E01004868,Bolton 015A,67000,44250,110000,19
E01006326,Wigan 033D,67250,45000,95000,24
E01005428,Oldham 019A,67500,30000,115000,29
E01005143,Manchester 056A,68500,63000,114000,14
E01005461,Oldham 035D,69000,55000,91500,3
E01004825,Bolton 011B,69950,50000,110000,9
E01004824,Bolton 005E,70000,50000,150000,11
E01004850,Bolton 021C,70000,30000,104000,11
E01005320,Oldham 024A,70000,39000,159950,19
E01005323,Oldham 029B,70000,50000,163900,17
E01005351,Oldham 016B,70000,61500,80000,7
E01006306,Wigan 009A,70000,35000,118000,11
E01005353,Oldham 016D,70250,35000,115000,6
E01004958,Bury 008A,70500,56000,103000,13
E01032557,Oldham 026F,70500,52000,114950,12
E01005432,Oldham 014C,71000,37500,85000,9
E01006386,Wigan 009C,71000,62000,82000,6
E01004823,Bolton 016C,71500,50000,125000,8
E01005189,Manchester 017D,72000,65000,115000,9
E01005513,Rochdale 019D,72000,46000,155000,11
E01005579,Rochdale 004B,72000,67500,162500,7
E01006310,Wigan 012D,72000,57500,124950,9
E01006336,Wigan 027D,72750,37000,107000,12
E01005578,Rochdale 004A,73000,49950,164000,16
E01006360,Wigan 010D,73000,56000,95000,3
E01005429,Oldham 022D,73225,40000,95000,7
E01005585,Rochdale 008F,73550,56000,116000,7
E01004830,Bolton 026A,74500,50200,117000,18
E01006214,Wigan 026B,74500,45000,122000,16
E01005344,Oldham 027C,74850,45000,110000,23
E01005466,Rochdale 016C,74950,45500,110500,11
E01004814,Bolton 027A,75000,35800,167000,13
E01004852,Bolton 025C,75000,39500,95000,5
E01004863,Bolton 033C,75000,45000,126000,17
E01005191,Manchester 021C,75000,55000,108000,21
E01005456,Oldham 012E,75000,44000,105000,17
E01005475,Rochdale 015C,75000,45000,177000,11
E01005580,Rochdale 008A,75000,35000,125000,26
E01006351,Wigan 010B,75000,42500,90000,6
E01004801,Bolton 019E,75250,56500,110000,6
E01005381,Oldham 027D,75411,61000,128000,10
E01005595,Rochdale 004E,75975,48000,159000,16
E01005665,Salford 001E,76000,58500,90000,5
E01006308,Wigan 012B,76250,45000,140000,16
E01005325,Oldham 029D,76500,76500,76500,1
E01006322,Wigan 026D,76500,43000,179995,18
E01004827,Bolton 021A,76625,61000,120000,16
E01005486,Rochdale 010F,76750,65000,120000,6
E01006297,Wigan 034D,76750,39999,153000,20
E01006323,Wigan 033A,76975,55000,159000,32
E01005201,Manchester 023E,77000,65000,115000,15
E01005515,Rochdale 019F,77000,61000,120000,12
E01005539,Rochdale 024B,77000,48000,123000,13
E01004994,Bury 015D,77500,61000,224000,14
E01005471,Rochdale 015B,77500,41000,146000,19
E01004866,Bolton 011E,77833,795,132000,17
E01004867,Bolton 008B,78000,30000,117500,19
E01004932,Bolton 017F,78000,50000,142500,30
E01005142,Manchester 058A,78000,75000,135000,3
E01005431,Oldham 019B,78000,30000,182500,43
E01005472,Rochdale 010A,78000,32000,206904,28
E01004802,Bolton 010A,78250,61500,110000,6
E01005379,Oldham 030B,78500,70000,97500,6
E01004931,Bolton 017E,78750,56000,158000,16
E01006350,Wigan 010A,78750,61000,95000,6
E01006275,Wigan 016C,78975,52000,115000,16
E01004928,Bolton 017C,79000,40000,130000,26
E01005103,Manchester 001E,79000,20500,135000,19
E01006361,Wigan 010E,79000,45000,115000,11
E01004906,Bolton 032E,79250,48000,132000,18
E01033687,Manchester 003G,79250,55000,183000,12
E01004834,Bolton 018A,79500,47000,130000,22
E01005948,Tameside 013A,79500,67000,87000,10
E01005259,Manchester 011D,79750,64000,115000,14
E01005202,Manchester 009A,79950,60000,120000,19
E01004822,Bolton 016B,80000,52000,108000,9
E01004828,Bolton 023A,80000,39950,113500,14
E01004857,Bolton 027D,80000,40000,210000,27
E01004969,Bury 022A,80000,33250,300000,39
E01004979,Bury 008C,80000,66000,117500,9
E01005498,Rochdale 020A,80000,50000,370000,17
E01005947,Tameside 004E,80000,50000,153000,27
E01005941,Tameside 007A,80375,74500,157500,8
E01005758,Stockport 014B,80962,42500,201000,106
E01004859,Bolton 032B,81000,60000,169000,14
E01004872,Bolton 029B,81000,40000,132500,28
E01004959,Bury 008B,81000,52000,181000,23
E01005328,Oldham 017B,81000,60000,96500,8
E01005435,Oldham 035A,81000,50000,141000,11
E01005660,Salford 001B,81000,49000,140000,9
E01006329,Wigan 026E,81000,65000,100000,9
E01004838,Bolton 018B,81500,50000,124950,22
E01005438,Oldham 029E,81500,39950,235000,45
E01032558,Oldham 007E,81500,55000,115000,6
E01005207,Manchester 006D,81750,67500,145000,16
E01005421,Oldham 011A,82000,60000,229000,20
E01005455,Oldham 012D,82000,35000,234000,27
E01006274,Wigan 016B,82000,44000,141500,19
E01006335,Wigan 034E,82250,30000,165000,34
E01004797,Bolton 013E,82500,49000,118000,8
E01005009,Bury 016E,82500,45000,160000,27
E01005093,Manchester 012A,82500,50000,107000,10
E01005203,Manchester 009B,82500,67000,115000,3
E01005437,Oldham 024C,82500,39495,124500,9
E01005464,Rochdale 016A,82500,62000,180000,9
E01005664,Salford 001D,82500,63500,110000,8
E01006411,Wigan 015E,82500,72000,90000,5
E01005754,Stockport 004B,82725,61000,105000,12
E01004865,Bolton 011D,83000,39995,195000,31
E01005106,Manchester 015D,83000,57000,160000,15
E01005225,Manchester 007C,83250,57000,127000,16
E01006050,Tameside 027C,83500,65000,98000,12
E01004832,Bolton 023C,84000,44000,139000,27
E01005337,Oldham 010B,84000,45000,160000,27
E01005389,Oldham 018C,84000,61000,293000,22
E01006213,Wigan 024A,84000,46000,535000,21
E01006244,Wigan 023C,84000,59000,309500,33
E01006307,Wigan 009B,84000,66000,149995,17
E01004793,Bolton 013B,84250,60000,164000,8
E01006333,Wigan 030B,84450,44000,173000,37
E01005205,Manchester 006B,84500,62000,158000,15
E01005445,Oldham 002D,84500,51500,227500,26
E01006404,Wigan 015C,84500,64000,145000,14
E01032920,Oldham 011E,84500,41000,155000,22
E01004855,Bolton 027B,84999,50000,172000,27
E01004812,Bolton 022B,85000,39950,510000,28
E01004927,Bolton 010C,85000,45000,173000,27
E01005104,Manchester 004A,85000,52000,125000,16
E01005348,Oldham 014A,85000,38000,192000,11
E01005497,Rochdale 018A,85000,50000,119750,20
E01005541,Rochdale 023F,85000,45000,155000,21
E01005592,Rochdale 009E,85000,39000,170000,22
E01005662,Salford 004B,85000,67500,101000,9
E01005729,Salford 025A,85000,61500,142000,13
E01005935,Tameside 006C,85000,49000,131000,12
E01006273,Wigan 013D,85000,34000,467500,23
E01006289,Wigan 017E,85000,63500,132000,19
E01006357,Wigan 010C,85000,73000,95000,5
E01006359,Wigan 014E,85000,53500,185000,22
E01006405,Wigan 015D,85000,47000,188000,28
E01033220,Bolton 016F,85000,51000,174995,11
E01006272,Wigan 013C,85125,30000,210000,28
E01005226,Manchester 007D,85250,56000,115000,22
E01005321,Oldham 022A,85250,45000,194950,18
E01005504,Rochdale 018D,85500,60000,267500,16
E01005258,Manchester 011C,86000,40000,160000,18
E01005342,Oldham 027A,86000,65000,129950,17
E01005460,Oldham 035C,86000,49950,140000,16
E01004787,Bolton 013A,86225,52000,158500,8
E01004980,Bury 008D,86250,60000,135000,18
E01005194,Manchester 027A,86500,55000,160000,43
E01005338,Oldham 017E,86500,66000,153500,15
E01004847,Bolton 025B,86900,65000,115000,9
E01004877,Bolton 025D,87000,45000,118000,7
E01005529,Rochdale 022B,87000,57000,109000,13
E01005552,Rochdale 022D,87000,39000,126000,11
E01004818,Bolton 017A,87500,33000,245000,7
E01004879,Bolton 025E,87500,60000,125000,10
E01005094,Manchester 012B,87500,60000,124995,14
E01005227,Manchester 009D,87500,40000,185000,35
E01005376,Oldham 031D,87500,64000,135000,15
E01005485,Rochdale 015D,87500,34900,125000,8
E01006269,Wigan 013A,87500,55000,195000,17
E01005197,Manchester 023C,88000,33750,150000,17
E01005502,Rochdale 018C,88000,52250,220000,23
E01005951,Tameside 013C,88000,57000,175000,25
E01006028,Tameside 028A,88000,68000,130000,15
E01033217,Bolton 016E,88475,51000,150000,12
E01005386,Oldham 026D,88500,70000,615000,12
E01006305,Wigan 012A,88500,63000,174500,10
E01005187,Manchester 021A,89000,60000,126000,17
E01005703,Salford 002A,89000,67000,111000,8
E01005708,Salford 002D,89000,57500,153000,18
E01005331,Oldham 017C,89250,74000,170000,16
E01005465,Rochdale 016B,89500,45000,287500,26
E01006387,Wigan 009D,89650,55000,170000,14
E01004767,Bolton 005B,89750,47750,186000,28
E01004861,Bolton 033A,89999,52000,130000,13
E01004854,Bolton 023D,90000,74000,110000,7
E01004878,Bolton 023E,90000,57000,130000,17
E01004957,Bury 007D,90000,52000,445000,17
E01005027,Bury 011B,90000,66000,310000,21
E01005065,Manchester 018D,90000,59900,215000,7
E01005950,Tameside 013B,90000,57000,146250,13
E01005953,Tameside 013E,90000,68000,235000,17
E01006029,Tameside 028B,90000,50000,240000,25
E01006392,Wigan 009E,90000,76000,149995,6
E01006398,Wigan 011D,90000,65500,120000,11
E01005098,Manchester 001A,90250,80000,135000,8
E01005958,Tameside 005D,90500,80000,115000,6
E01006295,Wigan 025C,90975,38950,250000,24
E01005653,Salford 011D,91000,60000,122000,11
E01006283,Wigan 027B,91000,35000,145000,15
E01004815,Bolton 022D,91500,52500,177500,12
E01004831,Bolton 026B,91500,60810,135000,20
E01005369,Oldham 032B,91500,65000,118000,13
E01033676,Manchester 056D,91500,88000,375000,3
E01005251,Manchester 003D,92000,80000,150000,7
E01005324,Oldham 029C,92475,56000,116995,12
E01004795,Bolton 013D,92500,63000,142500,9
E01006066,Tameside 008D,92500,73000,370000,16
E01006294,Wigan 025B,92500,40000,308000,41
E01004996,Bury 016B,92750,45000,145000,22
E01004858,Bolton 032A,93000,61000,138000,23
E01005147,Manchester 058B,93000,80000,155000,13
E01005463,Oldham 035F,93000,48500,146400,8
E01005473,Rochdale 010B,93000,54000,145000,7
E01005509,Rochdale 018F,93000,56000,200000,15
E01005525,Rochdale 021B,93000,64000,328000,19
E01005706,Salford 002C,93000,50000,134995,14
E01005753,Stockport 004A,93000,65000,125000,12
E01004774,Bolton 005D,93250,42000,345000,24
E01005135,Manchester 002B,93475,68000,135000,12
E01004766,Bolton 005A,93500,55000,390000,25
E01005102,Manchester 001D,93500,57500,148500,20
E01005368,Oldham 031C,93500,38000,180000,28
E01005392,Oldham 008B,93500,59950,350000,18
E01006073,Tameside 009D,93500,68000,540000,23
E01005527,Rochdale 022A,93750,38975,162700,8
E01005589,Rochdale 009B,93750,51878,155000,22
E01005003,Bury 014E,94000,64000,193000,27
E01005501,Rochdale 018B,94000,52250,400000,12
E01005639,Salford 029A,94000,75995,105000,7
E01005707,Salford 003C,94000,57500,131500,11
E01006254,Wigan 005B,94000,65000,157500,9
E01006056,Tameside 003A,94227,80000,144950,4
E01006311,Wigan 012E,94250,65000,138000,12
E01006298,Wigan 037B,94375,47000,137000,16
E01005495,Rochdale 005F,94500,65000,209950,5
E01005960,Tameside 006E,94500,54000,500000,16
E01004992,Bury 015B,94750,55000,143000,18
E01005352,Oldham 016C,95000,69500,105000,5
E01005480,Rochdale 017E,95000,56500,249950,17
E01005490,Rochdale 005B,95000,66500,150000,6
E01005535,Rochdale 023B,95000,55000,255000,37
E01005952,Tameside 013D,95000,39000,270000,9
E01006036,Tameside 020F,95000,74000,240000,16
E01006219,Wigan 024E,95000,39000,120000,13
E01006240,Wigan 017B,95000,38000,108000,7
E01006338,Wigan 030D,95000,40000,185000,38
E01005257,Manchester 011B,95250,33000,120000,16
E01005190,Manchester 017E,95975,62000,149000,18
E01005588,Rochdale 007F,95975,57500,210000,14
E01005255,Manchester 012D,96000,74000,129995,6
E01005451,Oldham 019D,96000,40000,300000,23
E01006291,Wigan 022B,96000,55000,235000,35
E01006369,Wigan 008C,96300,57000,169995,34
E01004902,Bolton 032D,96497,45000,150000,30
E01005371,Oldham 032D,96500,65000,167500,24
E01006005,Tameside 011E,96750,65000,240000,10
E01005099,Manchester 001B,96975,50000,131000,10
E01005542,Rochdale 023G,97450,70000,149000,14
E01004907,Bolton 034D,97500,43500,125000,8
E01005256,Manchester 011A,97500,76000,175000,13
E01006246,Wigan 034A,97500,58926,197500,20
E01006309,Wigan 012C,97500,64000,160000,9
E01006324,Wigan 033B,97500,52000,172000,25
E01006397,Wigan 011C,97500,70000,119950,12
E01005562,Rochdale 014E,97750,68000,400000,16
E01004916,Bolton 024F,98000,60000,147500,13
E01005101,Manchester 002A,98000,54900,207000,19
E01005422,Oldham 011B,98000,61500,149000,8
E01006223,Wigan 036A,98000,55000,246000,21
E01005193,Manchester 021E,98100,53000,142000,20
E01006354,Wigan 014B,98125,77000,143000,12
E01006355,Wigan 014C,98475,50000,185000,20
E01005343,Oldham 027B,98500,72500,147950,14
E01006010,Tameside 017B,98500,70000,188000,13
E01006267,Wigan 032D,98500,45000,127500,12
E01006064,Tameside 008B,98750,85000,170000,8
E01006008,Tameside 017A,99000,79000,175000,23
E01006352,Wigan 015B,99000,50500,172995,39
E01033678,Manchester 009F,99000,77600,118600,8
E01004997,Bury 014A,99500,59000,340000,24
E01005638,Salford 027D,99950,61000,350000,27
E01006282,Wigan 027A,99975,58000,240000,18
E01004862,Bolton 033B,99999,48000,269000,11
E01004883,Bolton 007D,100000,62000,237500,25
E01005026,Bury 008F,100000,49000,223000,23
E01005085,Manchester 049A,100000,90000,150000,9
E01005092,Manchester 015A,100000,61500,240000,15
E01005284,Manchester 026C,100000,75000,195000,15
