area_code,area_name,median_price,min_price,max_price,transactions
E05000735,St Mary's,69000,3e4,182500,97
E05000656,Great Lever,70000,33500,51e4,125
E05000742,Central Rochdale,70000,34e3,13e4,60
E05000748,Milkstone and Deeplish,70000,34900,177e3,61
E05000665,Rumworth,75000,3e4,199995,111
E05000657,Halliwell,75500,795,44e4,120
E05000723,Coldhurst,77000,35e3,192e3,52
E05000719,Alexandra,78500,3e4,615e3,118
E05000851,Ince,84375,35e3,25e4,104
E05000728,Medlock Vale,84475,39495,28e4,114
E05000854,Leigh West,85000,32e3,34e4,245
E05000737,Waterhead,90000,3e4,319995,196
E05000753,Smallbridge and Firgrove,90000,35e3,32e4,102
E05000667,Tonge with the Haulgh,90625,33e3,253e3,174
E05000702,Gorton North,92000,33750,29e4,160
E05000655,Farnworth,93000,35800,269e3,231
E05000769,Little Hulton,93500,49e3,225e3,92
E05000849,Hindley,94225,3e4,467500,184
E05000816,St Peter's,96000,39e3,32e4,130
E05000783,Brinnington and Central,97750,42500,29e4,266
E05000751,North Heywood,97875,5e4,593500,140
E05000672,East,100000,4e4,445e3,142
E05000704,Harpurhey,100000,33e3,225e3,205
E05000840,Abram,100000,39e3,535e3,199
E05000847,Douglas,100000,42500,189450,159
E05000705,Higher Blackley,100500,20500,37e4,145
E05000857,Pemberton,102500,45e3,495e3,128
E05000722,Chadderton South,103350,45e3,23e4,154
E05000752,North Middleton,104000,4e4,355e3,115
E05000658,Harper Green,106000,42e3,2e5,152
E05000711,Moston,107000,55e3,268e3,207
E05000755,Spotland and Falinge,108250,39995,382500,92
E05000652,Breightmet,110000,4e4,22e4,116
E05000654,Crompton,110000,3e4,255e3,269
E05000663,Kearsley,110000,43500,407e3,194
E05000709,Miles Platting and Newton Heath,110000,33e3,222950,139
E05000862,Wigan West,110000,54e3,221500,191
E05000727,Hollinwood,115000,33e3,24e4,166
E05000734,St James',115000,41e3,575e3,117
E05000743,East Middleton,115750,38e3,345e3,162
E05000738,Werneth,116000,36e3,264995,90
E05000864,Worsley Mesnes,118000,37500,229950,135
E05000678,Radcliffe East,118250,44500,372995,194
E05000776,Weaste and Seedley,119000,42500,427500,197
