area_code,area_name,median_price,min_price,max_price,transactions
E01006108,Trafford 017E,100000,85000,131000,4
E01006105,Trafford 017B,110000,91500,159000,11
E01006145,Trafford 004D,112995,89000,290000,29
E01006106,Trafford 017C,120000,93000,164950,18
E01006168,Trafford 019E,141000,70000,172500,19
E01006104,Trafford 017A,141475,77000,175000,22
E01006109,Trafford 001A,145000,125000,150000,3
E01006185,Trafford 001E,149950,83500,280000,25
E01006144,Trafford 011C,150000,100000,300000,19
E01006160,Trafford 015B,156750,100000,595000,88
E01006107,Trafford 017D,159950,110000,325000,24
E01006171,Trafford 013D,161500,115000,320000,14
E01006159,Trafford 006C,162000,97500,230000,21
E01006142,Trafford 011A,165000,80000,340000,27
E01006126,Trafford 007B,165995,100000,230000,37
E01006187,Trafford 003C,169000,98000,382500,51
E01006078,Trafford 024A,173495,67000,377000,118
E01006186,Trafford 003B,175000,99950,273000,27
E01006175,Trafford 018C,176750,107000,385000,22
E01006207,Trafford 022C,177000,80000,238000,17
E01006097,Trafford 015A,177500,75000,700000,42
E01006121,Trafford 002E,178500,150000,225000,18
E01006189,Trafford 003D,181000,82500,325000,33
E01006111,Trafford 001C,182500,145000,220000,2
E01006158,Trafford 008B,183000,105000,235000,22
E01006180,Trafford 011D,185000,92500,317500,31
E01006184,Trafford 008D,187500,79500,670000,28
E01006156,Trafford 008A,188450,122500,326000,17
E01006112,Trafford 001D,196000,168000,303500,15
E01006199,Trafford 009B,196000,117000,272950,24
E01006157,Trafford 006B,197000,102000,252500,28
E01006179,Trafford 008C,197500,74000,385000,20
E01006095,Trafford 019C,198500,150000,507500,26
E01006116,Trafford 002A,199000,115000,312000,18
E01006075,Trafford 025B,200000,78000,1585000,58
E01006141,Trafford 003A,200000,120000,237500,19
E01006188,Trafford 001F,200000,76150,360000,20
E01006092,Trafford 019B,201250,100000,257000,14
E01006177,Trafford 018E,202000,134200,240000,11
E01006091,Trafford 019A,205000,96375,542500,58
E01006181,Trafford 011E,205000,150000,340100,24
E01006206,Trafford 022B,205000,132000,415000,23
E01006150,Trafford 012C,210000,115000,675000,29
E01006127,Trafford 007C,213500,141000,345000,29
E01006176,Trafford 018D,216000,107500,465000,26
E01006198,Trafford 009A,216750,125000,520000,22
E01006130,Trafford 007D,220000,64000,380000,33
E01006155,Trafford 006A,220000,151000,257000,23
E01006166,Trafford 013A,220000,110000,372500,26
E01006182,Trafford 006D,220000,90000,287000,19
E01006165,Trafford 012E,220500,115000,335000,48
E01006200,Trafford 009C,221750,92000,515000,20
E01006110,Trafford 001B,225000,121000,275000,17
E01006161,Trafford 015C,225000,69880,875000,49
E01006197,Trafford 010D,225500,112500,499999,34
E01006122,Trafford 005A,234000,103500,350000,39
E01006090,Trafford 020A,235000,114000,381000,30
E01006114,Trafford 004B,235000,145000,343000,15
E01006132,Trafford 007E,235000,185000,335000,23
E01006128,Trafford 005D,236000,109250,355000,53
E01006131,Trafford 005E,239999,119000,483000,29
E01006119,Trafford 002D,241000,181000,300000,14
E01006163,Trafford 015E,241250,166950,547500,34
E01006125,Trafford 007A,247500,115000,395000,22
E01006211,Trafford 022E,248750,215000,282500,14
E01006201,Trafford 009D,249995,112500,393000,29
E01006183,Trafford 006E,250000,220000,375000,13
E01006173,Trafford 018B,256000,149950,400000,22
E01006123,Trafford 005B,257500,110000,381750,25
E01006169,Trafford 013B,257600,103000,445000,30
E01006204,Trafford 022A,258950,115000,665000,37
E01006146,Trafford 004E,261275,120000,328000,14
E01006089,Trafford 024C,262000,122000,629950,64
E01006099,Trafford 014B,263500,160000,455000,17
E01006154,Trafford 012D,265000,123332,639150,41
E01006133,Trafford 010C,266000,195000,635000,23
E01006074,Trafford 025A,268000,140000,1361800,25
E01006118,Trafford 002C,268475,165000,340000,18
E01006117,Trafford 002B,269950,125000,350000,19
E01006129,Trafford 010B,270000,124950,434500,17
E01006178,Trafford 014E,270000,86500,550000,32
E01006203,Trafford 010E,275000,210000,677500,13
E01006170,Trafford 013C,277500,160000,468250,29
E01006174,Trafford 014D,287500,97000,905000,23
E01006120,Trafford 010A,291000,218000,620000,32
E01006113,Trafford 004A,293000,167000,400000,11
E01006115,Trafford 004C,296000,148000,439000,17
E01006164,Trafford 014C,297500,98000,635000,22
E01006094,Trafford 020B,298500,45000,447000,34
E01006210,Trafford 021E,300000,88000,600000,16
E01006093,Trafford 023A,302000,90000,535000,24
E01006196,Trafford 021D,303500,200000,475000,24
E01006102,Trafford 018A,305000,114000,405000,28
E01006153,Trafford 016D,305000,235000,425000,25
E01006202,Trafford 009E,305000,175000,525000,23
E01006149,Trafford 012B,310000,118500,750000,30
E01006143,Trafford 011B,311000,43750,586000,23
E01006172,Trafford 016E,312500,84673,685000,17
E01006077,Trafford 027A,315000,81000,803000,39
E01006139,Trafford 026D,315000,82500,850000,35
E01006124,Trafford 005C,317500,165100,732000,18
E01006103,Trafford 020E,320000,272000,485000,20
E01006195,Trafford 021C,320000,175000,535000,24
E01006080,Trafford 024B,320525,125000,790000,42
E01006162,Trafford 015D,325000,115000,650000,23
E01006208,Trafford 022D,335000,173000,626560,21
E01006079,Trafford 025D,335250,53500,1050000,82
E01006194,Trafford 024E,339125,88000,565000,52
E01006191,Trafford 023B,341250,220000,685000,32
E01006192,Trafford 023C,341375,121500,775000,32
E01006193,Trafford 024D,345500,160000,653000,24
E01006205,Trafford 023D,347500,250000,578000,24
E01006096,Trafford 020C,349050,235000,550000,19
E01006147,Trafford 012A,350000,237000,540000,19
E01006148,Trafford 016A,370000,89950,880000,31
E01006190,Trafford 021B,370000,194950,568000,21
E01006151,Trafford 016B,371500,85000,1875000,26
E01006140,Trafford 026E,380000,145000,835000,21
E01006167,Trafford 019D,380000,63500,470000,7
E01006098,Trafford 014A,383000,165000,800000,18
E01006209,Trafford 023E,383000,106000,850000,22
E01006101,Trafford 021A,390000,285000,665000,21
E01006138,Trafford 028E,395000,165000,828000,39
E01006100,Trafford 020D,425000,132000,645000,15
E01006086,Trafford 027E,439000,150000,3200000,29
E01006152,Trafford 016C,462500,250000,950000,29
E01006076,Trafford 025C,469000,160000,2650000,39
E01006088,Trafford 026C,475000,281500,1320000,33
E01006085,Trafford 027D,497500,187950,2850000,40
E01006087,Trafford 025E,500500,125000,2050000,16
E01006135,Trafford 028B,530000,236000,1050000,29
E01006084,Trafford 026B,600000,230000,1551001,31
E01006136,Trafford 028C,632500,285000,1173000,34
E01006082,Trafford 027C,641250,269950,2900000,32
E01006081,Trafford 027B,810000,320000,3160000,21
E01006137,Trafford 028D,825000,525000,3500000,15
E01006083,Trafford 026A,922500,484900,3500000,18
E01006134,Trafford 028A,1263500,375000,6800000,26
