area_code,area_name,median_price,min_price,max_price,transactions
E05000824,Bucklow-St Martins,145000,77e3,325e3,101
E05000829,Gorse Hill,176875,82500,382500,176
E05000832,Longford,181000,43750,586e3,157
E05000836,Stretford,202500,74e3,395e3,136
E05000825,Clifford,206300,102e3,439e3,100
E05000833,Priory,208250,69880,875e3,246
E05000827,Davyhulme West,221750,1e5,732e3,182
E05000826,Davyhulme East,230000,117e3,54e4,123
E05000838,Urmston,236000,92e3,67e4,181
E05000828,Flixton,236750,64e3,677500,190
E05000835,Sale Moor,243750,86500,905e3,154
E05000834,St Mary's,252600,63500,1875e3,160
E05000819,Altrincham,257750,53500,265e4,375
E05000822,Broadheath,268000,45e3,629950,258
E05000820,Ashton upon Mersey,275000,89950,88e4,186
E05000839,Village,275000,8e4,85e4,149
E05000823,Brooklands,316000,75e3,8e5,161
E05000837,Timperley,335000,9e4,775e3,167
E05000831,Hale Central,425000,81e3,35e5,199
E05000830,Hale Barns,560500,135e3,68e5,162
E05000821,Bowdon,577500,107500,32e5,168
